Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2024-06-06,12.58,2024-06-12,12.04,2022-12-13-2024-05-23,13.37-21.46,Sell,4 days,4.29%,Fall by 0.08%,140.56%,
2024-07-01,12.22,2024-07-09,12.51,2024-04-19-2024-05-23,13.37-18.17,Sell,6 days,-2.37%,Fall by -17.11%,138.18%,
2024-08-06,27.71,2024-08-08,23.79,2024-07-19-2024-08-05,10.62-65.73,Sell,2 days,14.15%,Fall by 26.23%,152.33%,
2024-08-08,23.79,2024-08-09,20.37,2023-09-15-2024-08-05,12.68-65.73,Sell,1 days,14.38%,Fall by 22.14%,166.7%,
2024-08-09,20.37,2024-08-13,18.12,2024-03-21-2024-08-05,12.4-65.73,Sell,2 days,11.05%,Fall by 14.85%,177.75%,
2024-08-12,20.71,2024-08-12,20.71,2022-12-13-2024-07-19,17.19-21.46,Sell,0 days,-0.0%,Fall by 0%,177.75%,
2024-08-21,16.27,2024-09-16,17.14,2024-03-21-2024-04-19,12.4-21.36,Buy,18 days,5.35%,Rise by 32.09%,183.1%,
2024-10-15,20.64,2024-10-16,19.58,2024-09-06-2024-09-26,15.83-18.83,Sell,1 days,5.14%,Fall by 16.91%,188.23%,
2024-10-22,18.2,2024-11-07,15.2,2023-12-12-2024-04-19,11.81-21.36,Buy,12 days,-16.48%,Rise by -11.12%,171.75%,
2024-12-20,18.36,2024-12-23,16.78,2024-12-06-2024-12-18,12.7-28.32,Sell,1 days,8.61%,Fall by 10.25%,180.36%,
2024-12-26,14.73,2024-12-26,14.73,2024-09-06-2024-12-06,13.74-18.83,Sell,0 days,-0.0%,Fall by 0%,180.36%,
2025-01-28,16.41,2025-04-15,30.12,2024-12-06-2024-12-18,12.7-28.32,Buy,55 days,83.55%,Rise by -17.99%,263.9%,
2025-03-28,21.65,2025-04-15,30.12,2024-07-19-2024-08-05,10.62-65.73,Buy,12 days,39.12%,Rise by -17.99%,303.02%,
2025-04-07,46.98,2025-04-08,52.33,2024-12-06-2025-04-07,12.7-60.13,Sell,1 days,-11.39%,Fall by 45.63%,291.64%,
2025-04-14,30.89,2025-04-14,30.89,2025-03-11-2025-03-26,19.07-26.18,Sell,0 days,-0.0%,Fall by 0%,291.64%,
2025-04-17,29.65,2025-04-17,29.65,2022-04-04-2024-08-05,18.45-65.73,Buy,0 days,0.0%,Rise by 0%,291.64%,
2025-05-06,24.76,2025-05-06,24.76,2024-12-06-2025-04-07,12.7-60.13,Buy,0 days,0.0%,Rise by 0%,291.64%,
2025-10-02,16.63,2025-10-02,16.63,2025-03-11-2025-08-28,14.69-26.18,Sell,0 days,-0.0%,Fall by 0%,291.64%,
2025-10-24,16.37,2025-10-27,15.79,2024-12-18-2025-08-28,14.69-14.82,Sell,1 days,3.54%,Fall by -10.45%,295.18%,
