Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-07-08,28.81,2021-09-02,29.47,Buy,40 Days,-3.07,Rise by 4.37%,2.29%,2.29%,
2022-02-03,29.23,2022-04-26,32.91,Buy,58 Days,-4.24,Rise by 1.85%,12.59%,14.88%,
2022-07-01,31.15,2023-08-25,33.56,Buy,300 Days,-16.13,Rise by 2.09%,7.74%,22.62%,
2022-07-21,31.05,2022-09-09,33.33,Buy,36 Days,-3.17,Rise by 4.03%,7.34%,29.96%,
2022-08-04,31.59,2022-10-27,34.25,Buy,60 Days,-4.98,Rise by 1.3%,8.42%,38.38%,
2022-10-03,31.79,2023-02-27,33.08,Buy,105 Days,-4.57,Rise by 7.9%,4.06%,42.44%,
2022-12-07,32.98,2023-02-27,33.08,Buy,58 Days,-4.0,Rise by -0.7%,0.3%,42.74%,
2022-12-20,32.44,2023-02-27,33.08,Buy,49 Days,-3.39,Rise by 1.6%,1.97%,44.71%,
2023-01-04,32.19,2023-02-27,33.08,Buy,38 Days,-3.06,Rise by 1.43%,2.76%,47.48%,
2023-02-06,31.38,2023-06-01,32.57,Buy,83 Days,-3.19,Rise by 5.39%,3.79%,51.27%,
2023-04-04,31.85,2023-06-01,32.57,Buy,42 Days,-3.52,Rise by 2.48%,2.26%,53.53%,
2023-12-01,33.23,2024-06-04,33.19,Buy,132 Days,-12.3,Rise by -3.94%,-0.12%,53.41%,
2023-12-13,32.61,2024-04-18,33.08,Buy,91 Days,-3.09,Rise by -2.12%,1.44%,54.85%,
2023-12-26,31.68,2024-04-18,33.08,Buy,82 Days,-3.22,Rise by 0.76%,4.42%,59.27%,
2024-02-01,31.86,2024-04-18,33.08,Buy,55 Days,-3.53,Rise by 1.82%,3.83%,63.1%,
2024-08-01,32.18,2024-09-27,32.02,Buy,41 Days,-3.66,Rise by 0.62%,-0.5%,62.6%,
2025-04-01,32.38,2025-07-22,33.02,Buy,80 Days,-5.9,Rise by 0.96%,1.98%,64.58%,
2025-08-01,32.47,2025-08-01,32.47,Buy,0 Days,-3.28,Rise by 0%,0.0%,64.58%,
