Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-03-14,145.0500,2022-03-15,150.2700,1 days,3.60%,3.5988%,Rise by 12.82%,3.5988%
Buy,2022-05-23,145.0500,2022-06-17,132.3600,19 days,-8.75%,-8.7487%,Rise by 0.73%,-5.1499%
Buy,2022-10-03,128.5100,2022-10-26,131.7800,17 days,2.54%,2.5445%,Rise by 18.93%,-2.6054%
Buy,2023-01-24,141.8200,2023-03-20,145.1300,39 days,2.33%,2.3339%,Rise by -0.61%,-0.2715%
Buy,2023-05-26,145.4000,2023-06-15,148.4500,14 days,2.10%,2.0977%,Rise by 4.88%,1.8262%
Buy,2023-10-02,145.1900,2023-10-18,150.0300,12 days,3.33%,3.3336%,Rise by 5.26%,5.1598%
Buy,2024-04-08,156.0400,2024-04-19,158.1400,9 days,1.35%,1.3458%,Rise by 7.89%,6.5056%
Buy,2024-10-08,168.1600,2024-10-11,171.0900,3 days,1.74%,1.7424%,Rise by 6.86%,8.2480%
Buy,2024-11-04,165.0800,2024-11-15,169.5400,9 days,2.70%,2.7017%,Rise by 8.86%,10.9497%
Buy,2025-01-08,162.1000,2025-01-23,166.1500,11 days,2.50%,2.4985%,Rise by 4.66%,13.4481%
