Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-11-08,14.0500,2021-12-03,13.1000,19 days,-6.76%,-6.7616%,Rise by -4.48%,-6.7616%
Buy,2022-01-25,12.1400,2022-04-19,11.4000,60 days,-6.10%,-6.0956%,Rise by 2.14%,-12.8571%
Buy,2022-06-16,9.4800,2022-06-27,9.7200,7 days,2.53%,2.5316%,Rise by 8.12%,-10.3255%
Buy,2022-10-14,9.8500,2022-11-07,10.2500,16 days,4.06%,4.0609%,Rise by 4.06%,-6.2646%
Buy,2022-11-25,9.0500,2022-11-29,9.4500,2 days,4.42%,4.4199%,Rise by 2.76%,-1.8447%
Buy,2023-03-16,8.6000,2023-03-28,8.9000,8 days,3.49%,3.4884%,Rise by 3.72%,1.6437%
Buy,2024-05-14,10.2800,2024-05-30,9.4000,12 days,-8.56%,-8.5603%,Rise by -10.41%,-6.9166%
Buy,2024-06-04,9.8500,2024-07-12,10.3100,28 days,4.67%,4.6701%,Rise by -1.32%,-2.2466%
Buy,2025-02-27,11.7000,2025-02-28,12.3400,1 days,5.47%,5.4701%,Rise by 0.85%,3.2235%
Buy,2025-03-24,11.2700,2025-05-13,11.8000,36 days,4.70%,4.7028%,Rise by 4.7%,7.9263%
Buy,2025-08-14,10.7800,2025-09-01,11.1900,12 days,3.80%,3.8033%,Rise by 3.8%,11.7296%
