Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-11-27,54815.0781,2021-11-29,57806.5664,0 days,5.46%,5.4574%,Rise by -13.03%,5.4574%
Buy,2021-12-07,50700.0859,2022-01-05,43569.0039,21 days,-14.07%,-14.0652%,Rise by 0.24%,-8.6078%
Buy,2022-05-12,29047.7520,2022-05-15,31305.1133,1 days,7.77%,7.7712%,Rise by 9.45%,-0.8366%
Buy,2022-06-17,20471.4824,2022-07-07,21637.5879,14 days,5.70%,5.6962%,Rise by 6.15%,4.8596%
Buy,2024-06-26,60811.2773,2024-06-30,62678.2930,2 days,3.07%,3.0702%,Rise by 12.24%,7.9298%
Buy,2024-07-06,58303.5391,2024-07-14,60787.7930,4 days,4.26%,4.2609%,Rise by 17.07%,12.1907%
Buy,2024-08-06,56034.3164,2024-08-08,61710.1367,2 days,10.13%,10.1292%,Rise by 14.81%,22.3199%
Buy,2025-02-28,84373.0078,2025-03-02,94248.3516,0 days,11.70%,11.7044%,Rise by 3.7%,34.0243%
Buy,2025-03-11,82862.2109,2025-03-24,87498.9141,9 days,5.60%,5.5957%,Rise by 5.6%,39.6200%
Buy,2025-08-31,108236.7109,2025-09-03,111723.2109,2 days,3.22%,3.2212%,Rise by 8.22%,42.8412%
Buy,2025-10-18,107198.2656,2025-10-25,111641.7266,4 days,4.15%,4.1451%,Rise by 2.11%,46.9862%
