Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2011-07-31,25.25,2011-08-21,43.05,14 days,2011-03-20/24.44,70.50%,70.50%,Rise by -17.9%,70.50%,
Buy,2014-01-26,18.14,2014-02-16,13.57,14 days,2013-09-01/17.01,-25.19%,-25.19%,Rise by -17.31%,45.30%,
Buy,2014-10-12,21.24,2014-10-26,16.11,9 days,2014-03-16/17.82,-24.15%,-24.15%,Rise by -37.24%,21.15%,
Buy,2015-08-23,28.03,2015-09-20,22.28,19 days,2015-02-01/20.97,-20.51%,-20.51%,Rise by -39.07%,0.64%,
Buy,2018-02-04,17.31,2018-02-11,29.06,4 days,2017-08-13/15.51,67.88%,67.88%,Rise by -10.98%,68.52%,
Buy,2018-10-28,24.16,2018-11-11,17.36,9 days,2018-04-08/21.49,-28.15%,-28.15%,Rise by -10.47%,40.37%,
Buy,2018-12-23,30.11,2019-01-06,21.38,9 days,2018-10-28/24.16,-28.99%,-28.99%,Rise by -47.79%,11.38%,
Buy,2019-08-25,19.87,2019-09-08,15.0,9 days,2019-06-02/18.71,-24.51%,-24.51%,Rise by -21.59%,-13.13%,
Buy,2020-03-01,40.11,2020-03-22,66.04,14 days,2019-08-25/19.87,64.65%,64.65%,Rise by -10.42%,51.51%,
Buy,2021-11-28,28.62,2021-12-12,18.69,9 days,2021-10-03/21.1,-34.70%,-34.70%,Rise by -32.95%,16.82%,
Buy,2022-03-06,31.98,2022-03-20,23.87,9 days,2021-12-05/30.67,-25.36%,-25.36%,Rise by -11.79%,-8.54%,
Buy,2022-05-01,33.4,2022-05-29,25.72,19 days,2022-03-06/31.98,-22.99%,-22.99%,Rise by -18.47%,-31.54%,
Buy,2024-08-04,23.39,2024-08-18,14.8,9 days,2024-04-21/18.71,-36.73%,-36.73%,Rise by -30.95%,-68.26%,
Buy,2025-03-09,23.37,2025-04-06,45.31,19 days,2024-09-08/22.38,93.88%,93.88%,Rise by -26.23%,25.62%,
