Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-01-10,3083.0979,2022-01-12,3372.2583,2 days,9.38%,9.3789%,Rise by -17.03%,9.3789%
Buy,2022-01-24,2440.3523,2022-01-31,2688.2788,5 days,10.16%,10.1595%,Rise by 32.75%,19.5383%
Buy,2022-05-13,2014.4182,2022-06-11,1529.6635,20 days,-24.06%,-24.0643%,Rise by -10.45%,-4.5259%
Buy,2022-06-15,1233.2064,2022-07-16,1352.6265,22 days,9.68%,9.6837%,Rise by 0.83%,5.1578%
Buy,2024-04-16,3084.9202,2024-05-20,3663.8555,24 days,18.77%,18.7666%,Rise by 5.77%,23.9244%
Buy,2024-07-08,3018.7319,2024-07-13,3177.1987,4 days,5.25%,5.2494%,Rise by 17.16%,29.1739%
Buy,2024-08-07,2336.5894,2024-08-08,2683.3528,1 days,14.84%,14.8406%,Rise by 18.52%,44.0145%
Buy,2025-02-06,2688.4009,2025-02-23,2821.3103,11 days,4.94%,4.9438%,Rise by 4.94%,48.9583%
Buy,2025-03-01,2216.6433,2025-03-02,2519.6946,0 days,13.67%,13.6716%,Rise by -13.39%,62.6299%
Buy,2025-03-12,1908.9827,2025-03-24,2077.4790,8 days,8.83%,8.8265%,Rise by 8.83%,71.4564%
Buy,2025-09-26,4035.8879,2025-10-01,4351.1123,3 days,7.81%,7.8105%,Rise by 16.15%,79.2669%
