Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2020-01-14 - 2020-01-17,3 days,2020-01-24,5.2,2020-02-03,5.195,6 days,0.1%,Fall by 11.54%,0.1%
Buy,2020-03-16 - 2020-03-17,1 days,2020-03-31,4.22,2020-04-15,4.57,11 days,8.3%,Rise by 17.54%,8.4%
Sell,2020-04-15 - 2020-04-16,1 days,2020-04-23,4.36,2020-04-28,4.59,3 days,-5.3%,Fall by -6.65%,3.1%
Buy,2020-04-24 - 2020-05-04,6 days,2020-05-06,4.495,2020-05-08,4.8,2 days,6.8%,Rise by 9.45%,9.9%
Sell,2020-05-11 - 2020-05-19,6 days,2020-05-22,4.74,2020-06-02,4.69,7 days,1.1%,Fall by 1.9%,11.0%
Buy,2020-06-02 - 2020-06-12,8 days,2020-06-16,4.7,2020-08-19,5.17,46 days,10.0%,Rise by 3.19%,21.0%
Buy,2020-06-29 - 2020-07-16,13 days,2020-07-20,4.67,2020-08-26,5.29,27 days,13.3%,Rise by 15.85%,34.2%
Sell,2020-08-28 - 2020-08-31,1 days,2020-09-14,5.19,2020-09-16,5.105,2 days,1.6%,Fall by 1.16%,35.9%
Buy,2020-09-21 - 2020-09-25,4 days,2020-09-29,5.03,2020-10-08,5.37,7 days,6.8%,Rise by 35.49%,42.6%
Sell,2020-10-12 - 2020-10-13,1 days,2020-10-16,5.4,2020-10-23,5.34,5 days,1.1%,Fall by -9.72%,43.7%
Sell,2020-11-11 - 2020-11-16,3 days,2020-11-19,5.88,2020-11-23,5.83,2 days,0.9%,Fall by -0.77%,44.6%
Sell,2020-12-03 - 2020-12-09,4 days,2020-12-14,6.25,2020-12-21,6.06,5 days,3.0%,Fall by 4.0%,47.6%
Sell,2021-01-13 - 2021-01-25,8 days,2021-01-28,7.11,2021-02-11,7.09,10 days,0.3%,Fall by 10.27%,47.9%
Buy,2021-02-25 - 2021-02-26,1 days,2021-03-08,6.2,2021-03-19,6.55,9 days,5.6%,Rise by 6.29%,53.6%
Sell,2021-03-19 - 2021-03-24,3 days,2021-03-29,6.2,2021-03-31,6.5,2 days,-4.8%,Fall by -1.13%,48.7%
Sell,2021-04-14 - 2021-04-27,9 days,2021-05-06,6.9,2021-05-14,6.54,6 days,5.2%,Fall by 9.28%,53.9%
Buy,2021-05-17 - 2021-05-19,2 days,2021-05-21,6.49,2021-05-27,6.94,4 days,6.9%,Rise by 6.01%,60.9%
Sell,2021-07-01 - 2021-07-06,3 days,2021-07-09,6.55,2021-07-22,6.84,9 days,-4.4%,Fall by -1.37%,56.4%
Buy,2021-09-14 - 2021-09-29,11 days,2021-10-01,6.51,2021-11-19,5.78,35 days,-11.2%,Rise by -11.21%,45.2%
Buy,2021-10-21 - 2021-10-28,5 days,2021-11-01,6.17,2022-01-28,5.55,64 days,-10.0%,Rise by 3.08%,35.2%
Buy,2021-11-08 - 2021-11-10,2 days,2021-11-12,6.05,2022-01-07,6.36,40 days,5.1%,Rise by 5.12%,40.3%
Sell,2021-12-02 - 2021-12-03,1 days,2021-12-16,6.06,2022-01-05,6.32,14 days,-4.3%,Fall by 8.42%,36.0%
Sell,2022-02-22 - 2022-02-23,1 days,2022-02-28,5.72,2022-03-10,5.68,8 days,0.7%,Fall by 1.4%,36.7%
Sell,2022-04-05 - 2022-04-07,2 days,2022-04-12,5.97,2022-04-20,5.96,6 days,0.2%,Fall by 5.53%,36.9%
Buy,2022-04-28 - 2022-05-10,8 days,2022-05-16,5.76,2022-08-03,6.3,57 days,9.4%,Rise by 13.72%,46.3%
Sell,2022-07-11 - 2022-07-19,6 days,2022-07-25,5.9,2022-07-29,6.07,4 days,-2.9%,Fall by 1.69%,43.4%
Sell,2022-08-05 - 2022-08-12,5 days,2022-08-17,6.395,2022-08-22,6.35,3 days,0.7%,Fall by 10.09%,44.1%
Buy,2022-09-06 - 2022-09-13,5 days,2022-09-15,6.01,2022-10-07,5.39,16 days,-10.3%,Rise by -10.32%,33.8%
Buy,2022-09-28 - 2022-10-04,4 days,2022-10-13,5.2,2022-10-27,5.53,10 days,6.3%,Rise by 10.0%,40.1%
Buy,2022-10-11 - 2022-10-18,5 days,2022-10-20,5.27,2022-10-31,5.82,7 days,10.4%,Rise by 8.54%,50.5%
Sell,2023-02-02 - 2023-02-03,1 days,2023-02-20,6.19,2023-02-24,6.35,4 days,-2.6%,Fall by 3.39%,48.0%
Sell,2023-05-02 - 2023-05-03,1 days,2023-05-15,6.41,2023-05-25,6.385,8 days,0.4%,Fall by 3.12%,48.3%
Buy,2023-06-13 - 2023-06-14,1 days,2023-06-21,6.35,2023-11-01,5.675,95 days,-10.6%,Rise by 4.72%,37.7%
Sell,2023-08-09 - 2023-08-11,2 days,2023-08-25,6.27,2023-09-05,6.16,7 days,1.8%,Fall by 5.42%,39.5%
Buy,2023-09-06 - 2023-09-13,5 days,2023-09-18,6.16,2023-12-18,6.54,65 days,6.2%,Rise by 8.93%,45.6%
Buy,2023-10-25 - 2023-10-30,3 days,2023-11-02,5.99,2023-12-08,6.32,26 days,5.5%,Rise by 12.02%,51.2%
Sell,2023-11-16 - 2023-11-28,8 days,2023-12-05,6.14,2023-12-08,6.32,3 days,-2.9%,Fall by -4.4%,48.2%
Sell,2023-12-29 - 2024-01-04,4 days,2024-01-11,6.62,2024-01-18,6.52,5 days,1.5%,Fall by -0.91%,49.7%
Sell,2024-01-31 - 2024-02-01,1 days,2024-02-12,6.71,2024-02-13,6.7,1 days,0.1%,Fall by 0.45%,49.9%
Sell,2024-02-23 - 2024-03-06,8 days,2024-03-13,6.85,2024-03-19,6.74,4 days,1.6%,Fall by 8.47%,51.5%
Buy,2024-03-19 - 2024-04-05,13 days,2024-04-09,6.75,2024-09-16,5.95,114 days,-11.9%,Rise by -2.37%,39.6%
Buy,2024-04-17 - 2024-04-18,1 days,2024-04-26,6.4,2024-06-05,6.78,28 days,5.9%,Rise by 2.97%,45.6%
Sell,2024-07-04 - 2024-07-12,6 days,2024-07-22,6.905,2024-07-25,6.87,3 days,0.5%,Fall by 6.73%,46.1%
Buy,2024-09-02 - 2024-09-03,1 days,2024-09-18,5.92,2024-09-27,6.3,7 days,6.4%,Rise by 17.23%,52.5%
Buy,2024-09-18 - 2024-09-23,3 days,2024-10-14,6.69,2024-12-13,5.72,44 days,-14.5%,Rise by 3.59%,38.0%
Sell,2024-11-19 - 2024-11-25,4 days,2024-11-28,6.66,2024-12-03,6.58,3 days,1.2%,Fall by 14.71%,39.2%
Buy,2024-12-06 - 2024-12-13,5 days,2024-12-17,5.945,2025-01-30,6.34,32 days,6.6%,Rise by 11.02%,45.8%
Sell,2025-01-31 - 2025-02-05,3 days,2025-02-14,6.425,2025-02-18,6.36,2 days,1.0%,Fall by 10.82%,46.9%
Buy,2025-02-27 - 2025-03-07,6 days,2025-04-10,5.9,2025-07-30,6.255,79 days,6.0%,Rise by 5.08%,52.9%
Sell,2025-05-19 - 2025-05-20,1 days,2025-05-26,6.03,2025-06-04,5.9,7 days,2.2%,Fall by -0.66%,55.0%
Sell,2025-07-09 - 2025-07-10,1 days,2025-07-24,6.07,2025-07-30,6.255,4 days,-3.0%,Fall by -6.92%,52.0%
