Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-01-13,102.4000,2022-01-27,95.3200,10 days,-6.91%,-6.9141%,Rise by -3.55%,-6.9141%
Buy,2022-03-09,87.6000,2022-04-14,79.5000,26 days,-9.25%,-9.2466%,Rise by 4.44%,-16.1606%
Buy,2023-02-28,102.0900,2023-03-03,104.5500,3 days,2.41%,2.4096%,Rise by 12.21%,-13.7510%
Buy,2023-03-14,99.4600,2023-03-30,101.3200,12 days,1.87%,1.8701%,Rise by 15.18%,-11.8809%
Buy,2023-05-26,98.5300,2023-06-14,100.6600,13 days,2.16%,2.1618%,Rise by 3.39%,-9.7191%
Buy,2023-12-06,97.0200,2024-01-12,91.9800,27 days,-5.19%,-5.1948%,Rise by 0.29%,-14.9139%
Buy,2024-05-07,72.5000,2024-05-17,77.8500,8 days,7.38%,7.3793%,Rise by 14.19%,-7.5346%
Buy,2024-12-20,87.9700,2024-12-26,91.8600,4 days,4.42%,4.4220%,Rise by 31.65%,-3.1127%
Buy,2025-03-13,96.0400,2025-03-20,99.2800,5 days,3.37%,3.3736%,Rise by 3.51%,0.2609%
Buy,2025-03-26,97.9700,2025-04-04,82.1000,7 days,-16.20%,-16.1988%,Rise by -13.65%,-15.9379%
Buy,2025-04-09,88.6800,2025-06-11,95.3900,45 days,7.57%,7.5665%,Rise by -1.6%,-8.3714%
Buy,2025-09-12,81.9000,2025-09-16,84.3700,2 days,3.02%,3.0159%,Rise by 5.89%,-5.3555%
