Symbol,Target for which Price has achieved over 90 percent of gain %,Current Trading Date/Price[$],Entry Signal Date/Price[$],Number of Trades/Historic Win Rate [%],Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Interval,Function,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
XIU.TO,44.7619 (F-Stack 2),2025-10-10 (Price: 44.45),2024-02-29 (Price: 32.54),7/100.0%,No Next Target,"36.6%, 421 days",13.41%/2.94%/9.9%,No Next Target,Monthly,TRENDPULSE,72.34%/94/220 days (Across ALL Assets),78.1%/105/179 days (Across ALL Assets)
XIU.TO,44.7619 (F-Stack 2),2025-10-10 (Price: 44.45),2023-12-24 (Price: 31.83),10/90.0%,No Next Target,"39.65%, 469 days",5.21%/1.1%/2.92%,No Next Target,Weekly,TRENDPULSE,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
XIU.TO,44.7619 (F-Stack 2),2025-10-10 (Price: 44.45),2023-12-10 (Price: 30.97),10/90.0%,No Next Target,"43.53%, 479 days",5.21%/1.1%/2.92%,No Next Target,Weekly,TRENDPULSE,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
XIU.TO,44.7619 (F-Stack 2),2025-10-10 (Price: 44.45),2023-04-23 (Price: 31.64),10/90.0%,No Next Target,"40.49%, 644 days",5.21%/1.1%/2.92%,No Next Target,Weekly,TRENDPULSE,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
XIU.TO,44.7619 (F-Stack 2),2025-10-10 (Price: 44.45),2022-11-13 (Price: 30.87),10/90.0%,No Next Target,"43.99%, 759 days",5.21%/1.1%/2.92%,No Next Target,Weekly,TRENDPULSE,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
