Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-10-01,147.06,2022-12-16,105.95,Buy,315 Days,-6.55,Rise by 8.41%,-27.95%,-27.95%,
2022-02-07,145.14,2022-04-04,134.34,Buy,40 Days,-3.07,Rise by 0.93%,-7.44%,-35.4%,
2022-03-07,124.44,2022-08-04,114.48,Buy,108 Days,-3.19,Rise by 6.95%,-8.0%,-43.4%,
2022-05-11,107.92,2022-08-04,114.48,Buy,61 Days,-4.05,Rise by 14.35%,6.08%,-37.32%,
2022-10-03,85.4,2023-12-26,108.02,Buy,321 Days,-8.67,Rise by 5.35%,26.49%,-10.83%,
2022-11-02,90.3,2022-12-27,117.56,Buy,39 Days,-3.72,Rise by 18.17%,30.19%,19.35%,
2023-06-05,105.2,2023-10-27,97.98,Buy,104 Days,-4.77,Rise by 7.98%,-6.86%,12.49%,
2024-02-02,100.71,2024-06-12,93.68,Buy,93 Days,-6.95,Rise by 6.42%,-6.98%,5.51%,
2024-04-01,92.56,2024-06-12,93.68,Buy,52 Days,-7.46,Rise by 3.44%,1.21%,6.72%,
2024-05-01,90.34,2024-06-27,94.19,Buy,41 Days,-5.67,Rise by 2.75%,4.26%,10.98%,
2024-07-01,76.83,2025-07-31,74.69,Buy,283 Days,-9.52,Rise by -2.56%,-2.79%,8.2%,
2024-07-24,71.09,2024-10-01,89.13,Buy,49 Days,-3.19,Rise by 5.3%,25.38%,33.57%,
2024-08-05,71.42,2025-03-03,78.41,Buy,150 Days,-7.7,Rise by 19.42%,9.79%,43.36%,
2024-11-01,78.06,2025-03-03,78.41,Buy,86 Days,-5.78,Rise by -1.79%,0.45%,43.81%,
2025-04-01,64.76,2025-08-28,77.92,Buy,107 Days,-9.7,Rise by -17.74%,20.32%,64.13%,
2025-04-11,54.39,2025-07-10,74.62,Buy,64 Days,-5.69,Rise by 7.52%,37.19%,101.32%,
2025-05-01,56.76,2025-05-01,56.76,Buy,0 Days,-13.03,Rise by 0%,0.0%,101.32%,
2025-10-07,68.91,2025-10-07,68.91,Buy,0 Days,-3.14,Rise by 0%,0.0%,101.32%,
