Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2015-12-31,16.0,2019-12-31,27.89,1043 days,2014-12-31/14.8273,74.30%,74.30%,Rise by 2101.53%,74.30%,
Buy,2020-12-31,235.22,2022-12-31,123.18,521 days,2019-12-31/27.8887,-47.63%,-47.63%,Rise by 94.1%,26.66%,
Buy,2024-12-31,403.84,2024-12-31,403.84,0 days,2021-12-31/352.26,0.00%,0.00%,Rise by 0%,26.66%,
