Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2012-02-29,2.23,2013-04-30,3.6,304 days,2011-11-30/2.1827,61.60%,61.60%,Rise by -17.93%,61.60%
Buy,2013-05-31,6.52,2013-08-31,11.27,65 days,2013-04-30/3.5993,72.87%,72.87%,Rise by 150.42%,134.47%
Buy,2013-09-30,12.89,2013-11-30,8.49,44 days,2013-08-31/11.2667,-34.18%,-34.18%,Rise by 26.6%,100.29%
Buy,2014-02-28,16.32,2015-03-31,12.58,282 days,2013-09-30/12.8913,-22.89%,-22.89%,Rise by 10.17%,77.40%
Buy,2017-01-31,16.8,2019-05-31,12.34,608 days,2016-04-30/16.0507,-26.50%,-26.50%,Rise by 43.54%,50.90%
Buy,2019-12-31,27.89,2020-04-30,52.13,87 days,2017-06-30/24.1073,86.90%,86.90%,Rise by 495.61%,137.81%
Buy,2020-05-31,55.67,2020-07-31,95.38,44 days,2020-04-30/52.1253,71.35%,71.35%,Rise by 375.17%,209.15%
Buy,2020-08-31,166.11,2020-10-31,129.35,44 days,2020-07-31/95.384,-22.13%,-22.13%,Rise by 59.24%,187.02%
Buy,2020-11-30,189.2,2021-10-31,371.33,239 days,2020-08-31/166.1067,96.26%,96.26%,Rise by 101.68%,283.29%
Buy,2021-11-30,381.59,2022-02-28,290.14,64 days,2021-10-31/371.3333,-23.96%,-23.96%,Rise by -23.94%,259.32%
Buy,2024-09-30,261.63,2025-09-30,444.72,261 days,2023-09-30/250.22,69.98%,69.98%,Rise by 74.51%,329.30%
Buy,2025-10-31,456.56,2025-10-31,456.56,0 days,2025-09-30/444.72,0.00%,0.00%,Rise by 0%,329.30%
