Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2006-11-30,13.4,2008-09-30,8.63,478 days,2006-04-30/12.56,-35.60%,-35.60%,Rise by 9.03%,-35.60%,
Buy,2009-09-30,13.59,2010-08-31,24.05,239 days,2009-05-31/11.49,76.97%,76.97%,Rise by 209.93%,41.37%,
Buy,2010-09-30,27.4,2013-06-30,20.61,716 days,2010-08-31/24.05,-24.78%,-24.78%,Rise by 53.72%,16.59%,
Buy,2014-07-31,28.48,2014-09-30,22.34,43 days,2014-02-28/28.25,-21.56%,-21.56%,Rise by -17.03%,-4.97%,
Buy,2015-01-31,29.19,2015-06-30,21.65,106 days,2014-07-31/28.48,-25.83%,-25.83%,Rise by -25.83%,-30.80%,
Buy,2016-04-30,26.29,2018-11-30,20.86,674 days,2015-04-30/23.8,-20.65%,-20.65%,Rise by 5.71%,-51.45%,
Buy,2019-03-31,31.81,2020-04-30,52.89,283 days,2018-06-30/29.02,66.27%,66.27%,Rise by 23.11%,14.81%,
Buy,2020-05-31,59.32,2021-02-28,45.52,194 days,2020-04-30/52.89,-23.26%,-23.26%,Rise by -15.49%,-8.45%,
Buy,2022-03-31,59.45,2022-06-30,46.38,65 days,2021-07-31/57.63,-21.98%,-21.98%,Rise by -32.57%,-30.43%,
Buy,2023-01-31,60.84,2025-02-28,99.89,543 days,2022-03-31/59.45,64.18%,64.18%,Rise by 9.06%,33.75%,
Buy,2025-03-31,111.67,2025-03-31,111.67,0 days,2025-02-28/99.89,0.00%,0.00%,Rise by 0%,33.75%,
