Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2011-08-28,112.7000,2011-10-30,122.0400,44 days,8.29%,8.2875%,Rise by 8.29%,8.2875%
Buy,2015-09-13,164.3900,2015-10-11,170.7600,19 days,3.87%,3.8749%,Rise by 8.97%,12.1624%
Buy,2020-04-05,210.6000,2020-04-12,237.1400,4 days,12.60%,12.6021%,Rise by 28.94%,24.7645%
Buy,2022-10-16,296.8200,2022-10-30,328.5800,9 days,10.70%,10.7001%,Rise by 16.14%,35.4646%
