Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-12-02,346.6100,2021-12-06,352.8200,2 days,1.79%,1.7916%,Rise by 6.13%,1.7916%
Buy,2022-01-24,343.8100,2022-01-31,351.0800,5 days,2.11%,2.1145%,Rise by 4.03%,3.9062%
Buy,2022-05-13,322.2300,2022-05-27,332.0700,10 days,3.05%,3.0537%,Rise by 3.27%,6.9599%
Buy,2022-06-15,307.2300,2022-06-24,315.0200,7 days,2.54%,2.5356%,Rise by 6.98%,9.4955%
Buy,2022-09-01,317.0600,2022-09-12,324.5700,7 days,2.37%,2.3686%,Rise by 9.17%,11.8641%
Buy,2022-09-28,296.7300,2022-10-18,305.4700,14 days,2.95%,2.9454%,Rise by 16.65%,14.8095%
Buy,2023-02-27,329.0600,2023-03-03,334.2100,4 days,1.57%,1.5651%,Rise by 3.44%,16.3746%
Buy,2023-03-14,322.1900,2023-03-30,328.4800,12 days,1.95%,1.9523%,Rise by 5.64%,18.3269%
Buy,2023-10-04,330.9900,2023-10-09,336.0900,3 days,1.54%,1.5408%,Rise by 18.22%,19.8677%
Buy,2024-04-16,377.9800,2024-04-22,382.3700,4 days,1.16%,1.1614%,Rise by 5.81%,21.0291%
Buy,2024-12-20,428.5400,2025-01-21,440.1000,22 days,2.70%,2.6975%,Rise by 4.73%,23.7267%
Buy,2025-03-07,428.2600,2025-04-04,383.2200,20 days,-10.52%,-10.5170%,Rise by -0.57%,13.2097%
