Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1974-01-31,1.34,1994-07-31,13.56,5346 days,912.500000%,912.500000%,Rise by -11.750000%,912.500000%
Buy,2000-08-31,29.89,2016-10-31,112.57,4216 days,276.610000%,276.610000%,Rise by -11.180000%,1189.110000%
Buy,2024-07-31,265.4,2024-07-31,265.4,0 days,0.00%,0.00%,Rise by 0%,1189.110000%
