Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2003-09-28,1.3528,2006-01-29,1.1495,Buy,609 Days,34.95,Rise by -1.1%,-15.03%,-15.03%,
2004-03-28,1.3183,2004-09-26,1.2741,Sell,129 Days,-11.11,Fall by -2.5%,3.35%,-11.68%,
2004-05-16,1.3876,2004-07-04,1.3227,Sell,34 Days,-10.53,Fall by 5.53%,4.68%,-7.0%,
2005-03-27,1.2148,2005-09-11,1.1774,Sell,119 Days,-18.71,Fall by -1.27%,3.08%,-3.92%,
2005-05-29,1.2553,2007-06-03,1.0599,Buy,524 Days,20.72,Rise by -5.3%,-15.57%,-19.49%,
2005-08-21,1.2109,2005-09-25,1.1694,Sell,24 Days,-11.11,Fall by 3.97%,3.43%,-16.06%,
2006-01-08,1.1658,2006-04-30,1.1166,Sell,79 Days,-10.87,Fall by 2.76%,4.22%,-11.84%,
2006-04-23,1.1371,2006-06-04,1.1011,Sell,29 Days,-7.1,Fall by 3.17%,3.17%,-8.67%,
2008-03-30,1.0191,2008-10-26,1.2721,Buy,149 Days,8.0,Rise by 1.02%,24.83%,16.15%,
2009-03-22,1.241,2009-10-11,1.0419,Buy,144 Days,6.79,Rise by -12.09%,-16.04%,0.11%,
2011-03-20,0.9842,2011-04-24,0.9529,Sell,24 Days,-11.63,Fall by 3.45%,3.18%,3.29%,
2012-04-15,0.9947,2013-12-01,1.0585,Sell,424 Days,-13.42,Fall by 0.82%,-6.41%,-3.12%,
2013-05-12,1.007,2015-01-25,1.2382,Buy,444 Days,13.36,Rise by 4.5%,22.96%,19.84%,
2013-08-25,1.0517,2014-02-02,1.1156,Sell,114 Days,-13.9,Fall by -5.32%,-6.08%,13.76%,
2015-08-02,1.3006,2015-12-20,1.3924,Sell,99 Days,-19.6,Fall by 1.18%,-7.06%,6.7%,
2016-01-17,1.4345,2016-02-07,1.3755,Sell,14 Days,-27.63,Fall by 9.49%,4.11%,10.81%,
2016-11-20,1.3536,2016-11-20,1.3536,Buy,0 Days,20.08,Rise by 0%,0.0%,10.81%,
2018-04-15,1.2589,2018-12-09,1.3394,Sell,169 Days,-16.67,Fall by -3.46%,-6.39%,4.42%,
2021-01-24,1.2647,2021-01-24,1.2647,Buy,0 Days,8.07,Rise by 0%,0.0%,4.42%,
2021-10-03,1.2684,2022-09-25,1.3471,Sell,254 Days,-12.57,Fall by 1.45%,-6.2%,-1.78%,
2023-06-11,1.3362,2023-06-11,1.3362,Buy,0 Days,20.25,Rise by 0%,0.0%,-1.78%,
2025-01-19,1.4396,2025-04-13,1.3951,Sell,59 Days,-15.14,Fall by 1.53%,3.09%,1.31%,
2025-07-06,1.3573,2025-07-06,1.3573,Buy,0 Days,11.9,Rise by 0%,0.0%,1.31%,
