Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-12-23,155.7900,2022-02-15,159.6900,38 days,2.50%,2.5034%,Rise by 1.62%,2.5034%,
Buy,2022-04-11,156.8400,2022-04-19,160.7000,6 days,2.46%,2.4611%,Rise by -10.04%,4.9645%,
Buy,2022-05-03,151.6300,2022-05-04,156.2500,1 days,3.05%,3.0469%,Rise by -1.95%,8.0114%,
Buy,2022-05-12,145.0700,2022-07-06,148.1600,39 days,2.13%,2.1300%,Rise by 2.48%,10.1414%,
Buy,2022-09-02,153.7600,2022-09-08,156.3000,4 days,1.65%,1.6519%,Rise by 1.65%,11.7933%,
Buy,2023-01-31,158.3800,2023-03-03,162.1700,23 days,2.39%,2.3930%,Rise by 2.39%,14.1863%,
Buy,2023-05-26,155.1600,2023-06-22,157.7500,19 days,1.67%,1.6692%,Rise by 3.6%,15.8555%,
Buy,2024-04-29,169.6100,2024-05-09,174.0600,8 days,2.62%,2.6237%,Rise by 2.93%,18.4792%,
Buy,2024-06-20,161.4700,2024-07-15,166.1900,17 days,2.92%,2.9231%,Rise by 4.62%,21.4023%,
Buy,2024-08-08,152.7900,2024-08-22,156.1800,10 days,2.22%,2.2187%,Rise by 7.25%,23.6211%,
Buy,2025-07-22,136.5600,2025-08-01,128.0400,8 days,-6.24%,-6.2390%,Rise by -1.77%,17.3820%,
Buy,2025-08-08,127.3300,2025-08-19,130.7000,7 days,2.65%,2.6467%,Rise by 5.35%,20.0287%,
