Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Profit [%],Holding Period (days),Backtested Win Rate [%],Backtested Number of Trades,Avg Backtested Holding Period (days)
TRENDPULSE,ATZ.TO,Long,Monthly,2024-08-31,46.1,2025-03-31,50.58,9.718004338394787,150,100.0,6,130
TRENDPULSE,ATZ.TO,Long,Monthly,2024-07-31,45.32,2025-03-31,50.58,11.606354810238301,173,100.0,6,130
