Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1979-12-31,0.78,1982-09-30,1.37,718 days,1978-09-30/0.7017,76.50%,76.50%,Rise by 37.77%,76.50%,
Buy,1983-03-31,1.5,1986-06-30,2.83,847 days,1982-09-30/1.3737,88.77%,88.77%,Rise by -10.23%,165.27%,
Buy,1987-03-31,2.86,1987-12-31,1.84,197 days,1986-06-30/2.8265,-35.58%,-35.58%,Rise by -35.58%,129.70%,
Buy,1989-12-31,2.75,1991-09-30,5.15,455 days,1989-09-30/2.7129,87.41%,87.41%,Rise by 100.0%,217.10%,
Buy,1991-12-31,6.64,1993-03-31,4.92,326 days,1991-09-30/5.149,-25.89%,-25.89%,Rise by -11.01%,191.21%,
Buy,1994-12-31,6.11,1995-12-31,9.96,259 days,1992-12-31/5.7321,63.11%,63.11%,Rise by 117.8%,254.31%,
Buy,1996-03-31,10.63,1997-06-30,18.9,325 days,1995-12-31/9.962,77.70%,77.70%,Rise by 223.23%,332.01%,
Buy,1997-09-30,19.01,1998-03-31,31.53,130 days,1997-06-30/18.8963,65.80%,65.80%,Rise by 130.77%,397.81%,
Buy,1998-06-30,34.37,2004-12-31,25.51,1698 days,1998-03-31/31.5267,-25.78%,-25.78%,Rise by 27.66%,372.03%,
Buy,2011-03-31,19.27,2015-03-31,33.01,1043 days,2009-12-31/17.2581,71.30%,71.30%,Rise by 37.91%,443.33%,
Buy,2016-06-30,33.41,2021-12-31,59.05,1436 days,2015-03-31/33.0076,76.76%,76.76%,Rise by 25.16%,520.09%,
