Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-12-01,40.29,2022-06-14,59.73,Buy,139 Days,-11.42,Rise by 4.44%,48.25%,48.25%
2022-07-05,51.91,2023-08-03,58.21,Buy,282 Days,-6.54,Rise by 5.45%,12.14%,60.39%
2022-07-15,51.86,2022-11-18,54.65,Buy,90 Days,-4.89,Rise by 5.55%,5.38%,65.77%
2023-06-01,52.85,2023-09-08,59.41,Buy,71 Days,-6.84,Rise by 1.85%,12.41%,78.18%
2023-12-01,57.79,2024-03-21,60.14,Buy,79 Days,-4.46,Rise by 0.35%,4.07%,82.25%
2024-08-01,60.43,2024-10-10,63.83,Buy,50 Days,-4.59,Rise by 0.13%,5.63%,87.87%
2025-05-01,68.64,2025-08-28,76.19,Buy,85 Days,-4.96,Rise by 5.16%,11.0%,98.87%
2025-08-01,73.08,2025-10-28,77.57,Buy,62 Days,-5.32,Rise by 1.83%,6.14%,105.02%
