Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2008-11-30,78.99,2015-08-31,188.6,1759 days,138.760000%,138.760000%,Rise by 133.380000%,138.760000%,
Buy,2016-03-31,156.98,2018-05-31,225.88,564 days,43.890000%,43.890000%,Rise by 58.020000%,182.660000%,
Buy,2019-01-31,198.01,2022-03-31,330.1,824 days,66.710000%,66.710000%,Rise by 11.170000%,249.360000%,
