Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2011-02-20,57.1,2011-11-13,45.65,189 days,2010-10-24/55.76,-20.05%,-20.05%,Rise by -12.36%,-20.05%,
Buy,2012-02-26,54.66,2016-11-27,89.73,1239 days,2012-01-22/53.85,64.16%,64.16%,Rise by -3.44%,44.11%,
Buy,2017-10-08,98.11,2024-09-01,162.98,1799 days,2017-03-12/97.66,66.12%,66.12%,Rise by 9.8%,110.23%,
Buy,2024-10-13,170.38,2024-10-13,170.38,0 days,2024-09-15/168.02,0.00%,0.00%,Rise by 0%,110.23%,
