Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-11-18,157.87,2022-12-28,126.04,289 days,2021-09-07/156.69,-20.16%,-20.16%,Rise by 13.67%,-20.16%,
Buy,2023-02-03,154.5,2024-12-10,247.77,482 days,2022-11-18/151.29,60.37%,60.37%,Rise by -0.43%,40.21%,
Buy,2025-07-03,213.55,2025-07-03,213.55,0 days,2025-05-01/213.32,0.00%,0.00%,Rise by 0%,40.21%,
