Symbol,Target for which Price has achieved over 90 percent of gain %,Current Trading Date/Price[$],Entry Signal Date/Price[$],Number of Trades/Historic Win Rate [%],Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Interval,Function,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
SOXX,250.729 (F-Stack 2),2025-10-10 (Price: 271.99),2020-12-31 (Price: 126.3933),7/85.71%,No Next Target,"115.19%, 1246 days",71.98%/60.93%/64.63%,No Next Target,Monthly,ALTITUDE ALPHA,80.0%/10/281 days (Across ALL Assets),66.37%/113/415 days (Across ALL Assets)
SOXX,250.729 (F-Stack 2),2025-10-10 (Price: 271.99),2020-10-11 (Price: 108.4033),8/75.0%,No Next Target,"150.91%, 1304 days",61.89%/60.62%/61.25%,No Next Target,Weekly,ALTITUDE ALPHA,76.92%/13/402 days (Across ALL Assets),67.12%/73/362 days (Across ALL Assets)
