Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-02-01,262.01,2021-03-25,278.74,Buy,38 Days,-3.03,Rise by 3.76%,6.39%,6.39%
2021-10-04,326.23,2021-11-26,333.12,Buy,39 Days,-3.36,Rise by 4.8%,2.11%,8.5%
2022-05-11,188.74,2023-01-18,133.02,Buy,180 Days,-3.17,Rise by 5.36%,-29.52%,-21.02%
2022-06-15,169.35,2023-01-18,133.02,Buy,155 Days,-3.35,Rise by 0.48%,-21.45%,-42.48%
2022-09-01,165.36,2023-01-18,133.02,Buy,99 Days,-5.45,Rise by 2.29%,-19.56%,-62.03%
2022-10-05,138.98,2023-01-18,133.02,Buy,75 Days,-3.34,Rise by -3.55%,-4.29%,-66.32%
2022-10-27,97.94,2023-01-18,133.02,Buy,59 Days,-3.44,Rise by 19.54%,35.82%,-30.51%
2022-12-07,113.93,2023-02-07,191.62,Buy,44 Days,-3.74,Rise by 6.72%,68.19%,37.69%
2024-05-01,439.19,2024-07-11,512.7,Buy,51 Days,-6.54,Rise by 8.43%,16.74%,54.42%
2025-04-01,586.0,2025-08-05,763.46,Buy,90 Days,-10.08,Rise by -12.89%,30.28%,84.71%
2025-04-16,502.31,2025-06-16,702.12,Buy,43 Days,-3.36,Rise by 19.3%,39.78%,124.48%
