Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2022-08-01,133.407,2022-09-27,144.459,Buy,41 Days,-3.2,Rise by 1.33%,8.28%,8.28%,
2022-12-01,137.359,2023-09-12,146.678,Buy,203 Days,-19.72,Rise by 0.11%,6.78%,15.07%,
2023-02-01,130.11,2023-03-13,134.98,Buy,28 Days,-3.17,Rise by 3.74%,3.74%,18.81%,
2024-01-03,142.155,2024-04-01,151.398,Buy,63 Days,-5.86,Rise by 2.52%,6.5%,25.31%,
2024-08-01,149.744,2025-10-14,152.434,Buy,313 Days,-12.78,Rise by -0.35%,1.8%,27.11%,
2024-08-21,145.347,2024-10-31,153.204,Buy,51 Days,-4.45,Rise by 0.95%,5.41%,32.52%,
2024-09-05,143.324,2024-11-20,154.718,Buy,54 Days,-6.66,Rise by 0.47%,7.95%,40.47%,
2025-03-04,149.305,2025-07-21,148.431,Buy,99 Days,-4.4,Rise by 0.1%,-0.59%,39.88%,
2025-04-03,147.872,2025-05-15,146.65,Buy,30 Days,-3.11,Rise by -2.73%,-0.83%,39.05%,
2025-05-01,143.009,2025-10-14,152.434,Buy,118 Days,-10.57,Rise by 3.71%,6.59%,45.64%,
