Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1998-03-31,2.78,1998-06-30,7.1,65 days,1997-09-30/1.9541,155.83%,155.83%,Rise by 1880.16%,155.83%,
Buy,1999-03-31,15.02,1999-09-30,25.21,131 days,1998-06-30/7.0999,67.86%,67.86%,Rise by 598.17%,223.69%,
Buy,1999-12-31,47.3,2000-03-31,104.86,65 days,1999-09-30/25.2103,121.71%,121.71%,Rise by -46.94%,345.40%,
Buy,2003-12-31,32.55,2004-03-31,25.52,65 days,2002-03-31/31.8863,-21.59%,-21.59%,Rise by 93.44%,323.81%,
Buy,2004-09-30,33.57,2006-03-31,62.97,391 days,2003-12-31/32.5509,87.57%,87.57%,Rise by 87.57%,411.37%,
Buy,2006-12-31,68.16,2007-09-30,51.78,194 days,2006-03-31/62.9663,-24.04%,-24.04%,Rise by -24.04%,387.34%,
Buy,2009-09-30,67.74,2014-09-30,111.9,1304 days,2007-12-31/59.1356,65.20%,65.20%,Rise by 35.98%,452.54%,
Buy,2015-03-31,117.91,2016-09-30,89.8,393 days,2014-09-30/111.9,-23.84%,-23.84%,Rise by -10.96%,428.70%,
Buy,2017-12-31,117.84,2020-12-31,193.12,783 days,2016-03-31/105.7969,63.88%,63.88%,Rise by 19.01%,492.58%,
Buy,2021-03-31,207.08,2021-12-31,357.68,197 days,2020-12-31/193.125,72.73%,72.73%,Rise by 72.73%,565.31%,
Buy,2024-06-30,257.42,2024-06-30,257.42,0 days,2024-03-31/240.05,0.00%,0.00%,Rise by 0%,565.31%,
