Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-04-28,58.3400,2022-05-12,51.3600,10 days,-11.96%,-11.9643%,Rise by -11.96%,-11.9643%,
Buy,2022-05-16,51.1700,2022-05-19,53.0800,3 days,3.73%,3.7327%,Rise by -10.81%,-8.2317%,
Buy,2023-02-27,55.9300,2023-02-28,56.8500,1 days,1.64%,1.6449%,Rise by 24.51%,-6.5868%,
Buy,2023-05-26,60.7700,2023-06-21,56.1800,18 days,-7.55%,-7.5531%,Rise by -1.17%,-14.1398%,
Buy,2023-06-23,56.2100,2023-07-04,58.6400,7 days,4.32%,4.3231%,Rise by 6.85%,-9.8168%,
Buy,2024-02-15,59.7100,2024-02-26,52.9200,7 days,-11.37%,-11.3716%,Rise by 2.9%,-21.1884%,
Buy,2024-02-27,53.4500,2024-02-29,55.9300,2 days,4.64%,4.6399%,Rise by 14.95%,-16.5486%,
Buy,2024-11-14,83.4200,2024-11-19,87.4000,3 days,4.77%,4.7710%,Rise by 8.76%,-11.7775%,
Buy,2024-12-23,82.4300,2025-01-21,85.3100,21 days,3.49%,3.4939%,Rise by 2.21%,-8.2836%,
Buy,2025-10-24,137.43,2025-10-24,137.43,0 days,0.00%,0.00%,Rise by 0%,-8.28%,
