Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type
2015-11-22,2.78,2016-05-29,3.06,2015-11-15,Buy,27 Weeks,10.07%,Rise by 10.25%,10.07%,Absolute Extrema Case
2015-12-06,2.87,2016-05-29,3.06,2015-11-29,Buy,25 Weeks,6.62%,Rise by 6.79%,16.69%,Normal Case
2015-12-20,2.78,2016-05-29,3.06,2015-12-13,Buy,23 Weeks,10.07%,Rise by 10.25%,26.76%,Absolute Extrema Case
2016-01-10,2.78,2016-05-29,3.06,2016-01-03,Buy,20 Weeks,10.07%,Rise by 10.25%,36.84%,Normal Case
2016-01-17,2.83,2016-05-29,3.06,2016-01-10,Buy,19 Weeks,8.13%,Rise by 8.3%,44.96%,Normal Case
2016-02-14,2.64,2016-05-29,3.06,2016-02-07,Buy,15 Weeks,15.91%,Rise by 16.1%,60.87%,Absolute Extrema Case
2016-05-01,3.02,2016-08-21,3.0,2016-04-24,Buy,16 Weeks,-0.66%,Rise by 3.64%,60.21%,Normal Case
2016-05-15,3.065,2016-08-21,3.0,2016-05-01,Buy,14 Weeks,-2.12%,Rise by 2.12%,58.09%,Normal Case
2016-05-22,2.995,2016-08-21,3.0,2016-05-08,Buy,13 Weeks,0.17%,Rise by 4.51%,58.26%,Normal Case
2016-08-07,3.08,2016-12-11,2.965,2016-07-31,Buy,18 Weeks,-3.73%,Rise by -0.97%,54.52%,Normal Case
2016-08-28,3.12,2016-12-11,2.965,2016-08-21,Buy,15 Weeks,-4.97%,Rise by -2.24%,49.55%,Normal Case
2016-09-04,3.235,2016-12-11,2.965,2016-08-28,Buy,14 Weeks,-8.35%,Rise by -10.05%,41.21%,Normal Case
2016-09-11,3.21,2016-12-11,2.965,2016-09-04,Buy,13 Weeks,-7.63%,Rise by -4.98%,33.58%,Normal Case
2016-10-16,3.04,2016-12-18,3.02,2016-07-03,Buy,9 Weeks,-0.66%,Rise by 0.33%,32.92%,Local Extrema Case
2016-10-23,2.96,2017-02-05,3.09,2016-10-09,Buy,15 Weeks,4.39%,Rise by 18.58%,37.31%,Normal Case
2016-10-30,2.97,2017-02-05,3.09,2016-10-23,Buy,14 Weeks,4.04%,Rise by 18.18%,41.35%,Normal Case
2016-11-06,2.94,2017-02-05,3.09,2016-10-30,Buy,13 Weeks,5.1%,Rise by 19.39%,46.45%,Normal Case
2017-01-08,3.06,2017-03-26,3.155,2016-12-25,Buy,11 Weeks,3.1%,Rise by 14.71%,49.56%,Normal Case
2017-01-29,3.07,2017-04-23,3.15,2017-01-22,Buy,12 Weeks,2.61%,Rise by 14.33%,52.16%,Normal Case
2017-03-12,3.12,2017-08-13,3.47,2017-03-05,Buy,22 Weeks,11.22%,Rise by 12.5%,63.38%,Normal Case
2017-03-26,3.155,2017-08-13,3.47,2017-03-19,Buy,20 Weeks,9.98%,Rise by 11.25%,73.36%,Normal Case
2017-04-02,3.15,2017-08-13,3.47,2017-03-26,Buy,19 Weeks,10.16%,Rise by 11.43%,83.52%,Normal Case
2017-04-16,3.16,2017-08-13,3.47,2017-04-09,Buy,17 Weeks,9.81%,Rise by 11.08%,93.33%,Normal Case
2017-05-21,3.225,2017-08-13,3.47,2017-05-14,Buy,12 Weeks,7.6%,Rise by 8.84%,100.93%,Normal Case
2017-07-02,3.32,2017-09-10,3.48,2015-11-22,Buy,10 Weeks,4.82%,Rise by 4.82%,105.75%,Tangent Case
