Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2025-06-01,18.15,2025-06-08,19.98,Sell,4 Days,-8.97,Fall by -29.42%,-10.08%,-10.08%
2025-07-06,21.75,2025-07-20,27.13,Buy,9 Days,11.9,Rise by 60.97%,24.74%,14.65%
