Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2002-12-31,0.94,2003-06-30,1.82,129 days,2002-06-30/0.8125,92.27%,92.27%,Rise by 187.98%,92.27%,
Buy,2003-09-30,2.42,2005-03-31,1.71,392 days,2003-06-30/1.816,-29.24%,-29.24%,Rise by 12.33%,63.03%,
Buy,2007-06-30,3.42,2008-12-31,2.56,392 days,2005-12-31/2.3575,-25.04%,-25.04%,Rise by -25.04%,37.99%,
Buy,2009-09-30,4.67,2010-09-30,7.85,261 days,2007-09-30/4.6575,68.23%,68.23%,Rise by 85.41%,106.22%,
Buy,2010-12-31,9.0,2013-09-30,15.63,716 days,2010-09-30/7.853,73.69%,73.69%,Rise by 20.13%,179.91%,
Buy,2013-12-31,19.94,2014-12-31,15.52,261 days,2013-09-30/15.632,-22.18%,-22.18%,Rise by -19.15%,157.74%,
Buy,2015-06-30,21.7,2016-06-30,35.78,262 days,2013-12-31/19.9395,64.86%,64.86%,Rise by 121.46%,222.59%,
Buy,2016-09-30,41.87,2018-03-31,72.37,390 days,2016-06-30/35.781,72.86%,72.86%,Rise by 79.38%,295.45%,
Buy,2018-06-30,84.99,2020-06-30,137.94,521 days,2018-03-31/72.367,62.30%,62.30%,Rise by 85.24%,357.75%,
Buy,2020-09-30,157.44,2022-06-30,106.21,456 days,2020-06-30/137.941,-32.54%,-32.54%,Rise by 9.26%,325.21%,
Buy,2024-03-31,180.38,2024-03-31,180.38,0 days,2021-06-30/172.008,0.00%,0.00%,Rise by 0%,325.21%,
