Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2000-08-31,129.5,2000-10-31,99.81,43 days,2000-03-31/105.25,-22.92%,-22.92%,Rise by -12.16%,-22.92%
Buy,2003-05-31,81.5,2006-01-31,141.25,696 days,2002-11-30/78.87,73.31%,73.31%,Rise by 29.9%,50.39%
Buy,2006-02-28,141.29,2007-05-31,230.82,327 days,2006-01-31/141.25,63.37%,63.37%,Rise by 50.16%,113.75%
Buy,2007-10-31,247.92,2008-02-29,169.63,87 days,2007-05-31/230.82,-31.58%,-31.58%,Rise by -33.29%,82.18%
Buy,2009-08-31,165.46,2010-06-30,131.27,217 days,2008-08-31/163.97,-20.66%,-20.66%,Rise by -10.12%,61.51%
Buy,2012-12-31,127.56,2015-05-31,206.19,629 days,2012-03-31/124.37,61.64%,61.64%,Rise by 28.59%,123.15%
Buy,2015-06-30,208.79,2016-01-31,161.56,153 days,2015-05-31/206.19,-22.62%,-22.62%,Rise by -13.68%,100.53%
Buy,2016-11-30,219.29,2018-12-31,167.05,543 days,2015-11-30/190.02,-23.82%,-23.82%,Rise by 22.16%,76.71%
Buy,2019-11-30,221.35,2020-03-31,154.59,86 days,2019-07-31/220.13,-30.16%,-30.16%,Rise by -17.14%,46.55%
Buy,2020-12-31,263.71,2024-04-30,426.71,868 days,2020-01-31/237.75,61.81%,61.81%,Rise by 56.8%,108.36%
Buy,2024-05-31,456.52,2025-08-31,745.25,325 days,2024-04-30/426.71,63.25%,63.25%,Rise by 40.28%,171.61%
Buy,2025-09-30,796.35,2025-09-30,796.35,0 days,2025-08-31/745.25,0.00%,0.00%,Rise by 0%,171.61%
