Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1999-06-30,8.24,1999-12-31,6.37,132 days,1998-03-31/7.5958,-22.75%,-22.75%,Rise by -22.65%,-22.75%,
Buy,2001-03-31,9.91,2004-12-31,18.27,979 days,1999-06-30/8.2417,84.40%,84.40%,Rise by 34.66%,61.65%,
Buy,2005-03-31,19.09,2010-03-31,30.82,1304 days,2004-12-31/18.2675,61.47%,61.47%,Rise by 38.62%,123.11%,
Buy,2010-09-30,32.9,2013-12-31,60.56,848 days,2010-03-31/30.82,84.07%,84.07%,Rise by 37.28%,207.19%,
Buy,2014-03-31,62.11,2017-06-30,105.22,849 days,2013-12-31/60.56,69.41%,69.41%,Rise by 36.56%,276.59%,
Buy,2018-06-30,107.53,2024-03-31,178.37,1499 days,2017-06-30/105.22,65.88%,65.88%,Rise by 12.71%,342.47%,
