Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2003-04-30,0.82,2003-12-31,1.53,175 days,2002-02-28/0.805,86.45%,86.45%,Rise by 86.45%,86.45%,
Buy,2004-09-30,1.7,2006-01-31,2.97,348 days,2003-12-31/1.527,75.08%,75.08%,Rise by 38.59%,161.53%,
Buy,2006-09-30,3.05,2007-09-30,5.36,259 days,2006-01-31/2.972,75.48%,75.48%,Rise by 127.68%,237.01%,
Buy,2007-10-31,6.95,2008-02-29,5.46,87 days,2007-09-30/5.3565,-21.50%,-21.50%,Rise by -29.32%,215.50%,
Buy,2009-06-30,5.16,2010-09-30,9.22,327 days,2009-05-31/4.975,78.77%,78.77%,Rise by 30.47%,294.28%,
Buy,2012-09-30,9.4,2013-08-31,7.24,239 days,2010-09-30/9.2185,-22.88%,-22.88%,Rise by 12.93%,271.39%,
Buy,2014-05-31,11.26,2017-03-31,18.8,739 days,2013-04-30/10.61,67.04%,67.04%,Rise by 37.71%,338.44%,
Buy,2017-04-30,19.9,2019-06-30,32.51,564 days,2017-03-31/18.805,63.35%,63.35%,Rise by 36.4%,401.78%,
Buy,2020-11-30,34.5,2022-06-30,27.48,413 days,2019-06-30/32.51,-20.35%,-20.35%,Rise by 13.49%,381.44%,
Buy,2022-11-30,35.28,2024-01-31,27.74,305 days,2022-01-31/34.315,-21.37%,-21.37%,Rise by -11.7%,360.07%,
Buy,2025-04-30,36.34,2025-04-30,36.34,0 days,2024-11-30/33.38,0.00%,0.00%,Rise by 0%,360.07%,
