Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-12-01,6.69,2023-02-14,5.05,Buy,314 Days,-7.58,Rise by 7.32%,-24.51%,-24.51%,
2022-02-01,6.48,2023-02-14,5.05,Buy,270 Days,-9.07,Rise by 6.48%,-22.07%,-46.58%,
2022-04-06,6.25,2022-07-26,5.08,Buy,79 Days,-3.68,Rise by 1.12%,-18.72%,-65.3%,
2022-05-06,6.0,2022-07-26,5.08,Buy,57 Days,-3.08,Rise by -7.67%,-15.33%,-80.64%,
2022-06-01,5.43,2023-07-10,5.36,Buy,288 Days,-12.37,Rise by -11.6%,-1.29%,-81.92%,
2022-06-14,4.94,2022-08-09,5.37,Buy,40 Days,-3.07,Rise by 4.66%,8.7%,-73.22%,
2022-10-03,4.85,2023-02-14,5.05,Buy,96 Days,-8.16,Rise by 4.74%,4.12%,-69.1%,
2023-01-04,4.71,2023-05-05,4.7,Buy,87 Days,-4.26,Rise by 8.7%,-0.21%,-69.31%,
2023-03-01,4.72,2023-07-10,5.36,Buy,93 Days,-6.91,Rise by -10.17%,13.56%,-55.75%,
2023-03-20,4.24,2023-05-11,4.68,Buy,38 Days,-3.21,Rise by 6.84%,10.38%,-45.37%,
2023-04-06,4.42,2023-05-24,4.98,Buy,34 Days,-3.24,Rise by 3.17%,12.67%,-32.7%,
2023-09-01,4.84,2025-02-24,3.31,Buy,386 Days,-11.9,Rise by -2.69%,-31.61%,-64.31%,
2023-11-01,4.32,2023-12-28,4.78,Buy,41 Days,-4.44,Rise by 7.41%,10.65%,-53.67%,
2024-02-01,4.49,2024-07-26,3.32,Buy,126 Days,-3.11,Rise by -19.6%,-26.06%,-79.72%,
2024-05-01,3.72,2025-02-24,3.31,Buy,213 Days,-10.62,Rise by -18.82%,-11.02%,-90.75%,
2024-09-03,2.86,2025-02-24,3.31,Buy,124 Days,-8.59,Rise by -0.72%,15.73%,-75.01%,
2024-12-04,2.89,2025-01-20,2.88,Buy,33 Days,-3.74,Rise by -0.69%,-0.35%,-75.36%,
