Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2019-12-19 - 2020-01-14,18 days,2020-01-22,51.27,2020-01-28,48.76,4 days,4.9%,Fall by 14.59%,4.9%
Buy,2020-03-16 - 2020-03-18,2 days,2020-03-20,14.57,2020-03-24,16.71,2 days,14.7%,Rise by 43.38%,19.6%
Sell,2020-05-05 - 2020-05-07,2 days,2020-05-12,21.19,2020-05-15,19.76,3 days,6.7%,Fall by -15.1%,26.3%
Sell,2020-06-05 - 2020-06-08,1 days,2020-06-11,26.81,2020-06-12,27.95,1 days,-4.3%,Fall by 9.03%,22.1%
Buy,2020-06-23 - 2020-07-06,9 days,2020-07-10,25.53,2020-07-17,27.96,5 days,9.5%,Rise by 30.0%,31.6%
Buy,2020-06-26 - 2020-06-30,2 days,2020-07-10,25.53,2020-07-14,26.91,2 days,5.4%,Rise by 30.0%,37.0%
Sell,2020-08-14 - 2020-08-17,1 days,2020-08-21,27.92,2020-08-24,29.73,1 days,-6.5%,Fall by -76.33%,30.5%
Sell,2020-08-26 - 2020-08-28,2 days,2020-09-08,29.51,2020-09-11,30.44,3 days,-3.2%,Fall by -43.54%,27.4%
Sell,2020-10-27 - 2020-10-30,3 days,2020-11-13,46.09,2020-11-18,49.78,3 days,-8.0%,Fall by 8.09%,19.4%
Sell,2020-12-22 - 2020-12-30,6 days,2021-01-05,59.39,2021-01-14,53.56,7 days,9.8%,Fall by 21.03%,29.2%
Buy,2021-01-26 - 2021-01-27,1 days,2021-02-04,46.3,2021-02-08,50.45,2 days,9.0%,Rise by 17.06%,38.1%
Sell,2021-02-10 - 2021-02-24,10 days,2021-03-03,49.13,2021-03-05,52.79,2 days,-7.4%,Fall by 9.85%,30.7%
Sell,2021-03-09 - 2021-03-11,2 days,2021-03-16,50.04,2021-03-26,46.4,8 days,7.3%,Fall by 11.61%,38.0%
Sell,2021-04-12 - 2021-04-29,13 days,2021-05-20,44.02,2021-05-26,43.58,4 days,1.0%,Fall by 9.31%,39.0%
Sell,2021-08-11 - 2021-08-12,1 days,2021-08-17,39.94,2021-08-20,39.26,3 days,1.7%,Fall by -38.53%,40.7%
Sell,2021-09-01 - 2021-09-08,5 days,2021-09-21,53.9,2021-09-22,53.81,1 days,0.2%,Fall by -2.65%,40.8%
Sell,2021-09-27 - 2021-09-28,1 days,2021-10-07,62.49,2021-10-08,62.41,1 days,0.1%,Fall by 10.9%,41.0%
Buy,2021-12-01 - 2021-12-02,1 days,2021-12-16,51.82,2021-12-23,54.6,5 days,5.4%,Rise by 23.39%,46.3%
Buy,2021-12-02 - 2021-12-31,21 days,2022-01-17,57.1,2022-03-21,70.09,45 days,22.7%,Rise by 11.98%,69.1%
Sell,2022-01-18 - 2022-01-19,1 days,2022-01-24,55.47,2022-01-27,59.52,3 days,-7.3%,Fall by -9.27%,61.8%
Sell,2022-02-07 - 2022-02-10,3 days,2022-02-15,63.6,2022-02-16,62.51,1 days,1.7%,Fall by 3.02%,63.5%
Sell,2022-03-23 - 2022-03-28,3 days,2022-04-01,68.82,2022-04-05,68.27,2 days,0.8%,Fall by 10.37%,64.3%
Buy,2022-04-26 - 2022-05-12,12 days,2022-05-16,62.87,2022-06-16,53.98,23 days,-14.1%,Rise by 6.87%,50.2%
Buy,2022-07-05 - 2022-07-14,7 days,2022-07-18,48.52,2022-08-24,52.21,27 days,7.6%,Rise by 9.32%,57.8%
Sell,2022-10-07 - 2022-10-13,4 days,2022-10-18,46.07,2022-10-21,47.82,3 days,-3.8%,Fall by -6.01%,54.0%
Buy,2022-12-12 - 2022-12-19,5 days,2022-12-21,50.87,2023-01-06,55.71,12 days,9.5%,Rise by 38.69%,63.5%
Sell,2023-01-13 - 2023-01-18,3 days,2023-02-10,68.48,2023-02-13,67.93,1 days,0.8%,Fall by 11.05%,64.3%
Buy,2023-03-15 - 2023-03-16,1 days,2023-03-31,62.89,2023-05-12,56.22,30 days,-10.6%,Rise by 0.95%,53.7%
