Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-12-27,39.73,2016-04-17,43.25,2015-12-13,Buy,16 Weeks,8.86%,Rise by 12.01%,8.86%,Normal Case,
2016-02-07,37.67,2016-04-17,43.25,2016-01-31,Buy,10 Weeks,14.81%,Rise by 18.13%,23.67%,Normal Case,
2016-02-14,36.65,2016-04-17,43.25,2016-01-24,Buy,9 Weeks,18.01%,Rise by 21.42%,41.68%,Absolute Extrema Case,
2016-02-21,38.06,2016-05-15,43.33,2016-02-07,Buy,12 Weeks,13.85%,Rise by 16.92%,55.53%,Normal Case,
2016-03-06,40.29,2016-05-15,43.33,2015-12-20,Buy,10 Weeks,7.55%,Rise by 10.45%,63.07%,Local Extrema Case,
2016-05-01,44.5,2016-09-25,44.15,2016-04-24,Buy,21 Weeks,-0.79%,Rise by 1.73%,62.29%,Normal Case,
2016-05-08,43.04,2016-09-25,44.15,2016-04-17,Buy,20 Weeks,2.58%,Rise by 5.18%,64.87%,Normal Case,
2016-06-26,42.5,2016-09-25,44.15,2016-06-19,Buy,13 Weeks,3.88%,Rise by 6.52%,68.75%,Normal Case,
2016-08-21,44.16,2017-01-01,49.34,2016-08-14,Buy,19 Weeks,11.73%,Rise by 20.09%,80.48%,Normal Case,
2016-09-04,45.27,2017-01-01,49.34,2016-08-28,Buy,17 Weeks,8.99%,Rise by 17.14%,89.47%,Normal Case,
2016-09-11,44.47,2017-01-01,49.34,2016-09-04,Buy,16 Weeks,10.95%,Rise by 19.25%,100.42%,Normal Case,
2016-10-16,44.35,2017-01-01,49.34,2016-08-07,Buy,11 Weeks,11.25%,Rise by 19.57%,111.67%,Local Extrema Case,
2016-10-16,44.35,2017-01-01,49.34,2016-09-25,Buy,11 Weeks,11.25%,Rise by 19.57%,122.92%,Normal Case,
2016-10-23,45.03,2017-01-01,49.34,2016-10-09,Buy,10 Weeks,9.57%,Rise by 17.77%,132.49%,Normal Case,
2016-10-30,45.23,2017-01-01,49.34,2016-10-23,Buy,9 Weeks,9.09%,Rise by 17.25%,141.58%,Normal Case,
2016-12-25,49.56,2017-03-12,49.02,2015-11-15,Buy,11 Weeks,-1.09%,Rise by 7.0%,140.49%,Tangent Case,
2017-01-01,49.34,2017-03-12,49.02,2016-12-18,Buy,10 Weeks,-0.65%,Rise by 7.48%,139.84%,Normal Case,
2017-01-08,50.87,2017-03-12,49.02,2016-12-25,Buy,9 Weeks,-3.64%,Rise by 2.44%,136.21%,Normal Case,
2017-01-29,51.9,2017-08-13,50.11,2017-01-22,Buy,28 Weeks,-3.45%,Rise by -11.33%,132.76%,Normal Case,
2017-04-02,50.09,2017-08-13,50.11,2017-03-26,Buy,19 Weeks,0.04%,Rise by 4.03%,132.8%,Normal Case,
2017-04-09,49.38,2017-08-13,50.11,2017-03-19,Buy,18 Weeks,1.48%,Rise by 5.53%,134.27%,Normal Case,
2017-07-02,50.38,2017-11-05,57.42,2017-06-25,Buy,18 Weeks,13.97%,Rise by 15.88%,148.25%,Normal Case,
2017-08-20,50.65,2017-11-05,57.42,2017-08-13,Buy,11 Weeks,13.37%,Rise by 15.26%,161.61%,Normal Case,
2017-08-27,51.94,2017-11-05,57.42,2017-08-20,Buy,10 Weeks,10.55%,Rise by 12.4%,172.17%,Normal Case,
2017-10-01,56.27,2017-12-10,56.63,2017-09-24,Buy,10 Weeks,0.64%,Rise by 3.75%,172.81%,Normal Case,
