Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1996-01-31,6.28,1997-05-31,10.41,347 days,1995-12-31/6.0,65.74%,65.74%,Rise by 164.62%,65.74%,
Buy,1997-07-31,11.14,1999-04-30,19.46,456 days,1997-05-31/10.4125,74.75%,74.75%,Rise by 49.27%,140.49%,
Buy,1999-05-31,19.94,1999-07-31,14.9,44 days,1999-04-30/19.4625,-25.27%,-25.27%,Rise by -15.36%,115.22%,
Buy,2000-08-31,21.02,2002-07-31,16.5,499 days,1999-05-31/19.9375,-21.52%,-21.52%,Rise by -1.19%,93.70%,
Buy,2003-06-30,18.68,2005-11-30,30.2,632 days,2002-06-30/17.96,61.67%,61.67%,Rise by 23.53%,155.37%,
Buy,2005-12-31,30.56,2008-11-30,23.0,759 days,2005-11-30/30.2,-24.75%,-24.75%,Rise by 14.35%,130.62%,
Buy,2009-08-31,33.84,2014-06-30,54.93,1260 days,2008-09-30/32.04,62.32%,62.32%,Rise by 11.85%,192.94%,
Buy,2014-07-31,57.02,2021-12-31,96.98,1936 days,2014-06-30/54.93,70.08%,70.08%,Rise by -11.26%,263.02%,
Buy,2022-01-31,101.81,2023-03-31,80.95,304 days,2021-12-31/96.98,-20.49%,-20.49%,Rise by -17.09%,242.53%,
Buy,2025-02-28,86.64,2025-02-28,86.64,0 days,2024-09-30/85.52,0.00%,0.00%,Rise by 0%,242.53%,
