Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2008-06-30,30.58,2009-09-30,28.67,Sell,326 days,Fall by 20.830000%,6.25,
2009-03-31,24.21,2009-09-30,28.67,Sell,130 days,Fall by -16.480000%,-18.42,
2011-06-30,35.53,2013-06-30,47.61,Buy,521 days,Rise by 56.040000%,34.0,
2012-09-30,40.12,2013-12-31,55.44,Buy,325 days,Rise by 80.710000%,38.19,
2013-06-30,47.61,2014-09-30,63.91,Buy,325 days,Rise by 51.290000%,34.24,
