Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-12-01,33.15,2022-08-19,31.525,Buy,187 Days,-8.19,Rise by 1.76%,-4.9%,-4.9%
2022-03-01,30.185,2022-08-04,31.215,Buy,112 Days,-8.38,Rise by 4.16%,3.41%,-1.49%
2022-05-02,27.765,2022-08-04,31.215,Buy,68 Days,-5.15,Rise by -1.96%,12.43%,10.94%
2022-10-03,29.165,2022-11-04,31.555,Buy,24 Days,-3.02,Rise by 3.34%,8.19%,19.13%
2023-02-01,32.34,2023-04-17,34.34,Buy,53 Days,-3.33,Rise by 7.68%,6.18%,25.32%
2023-06-01,32.38,2023-07-31,34.14,Buy,42 Days,-4.03,Rise by 1.37%,5.44%,30.75%
2023-09-05,31.16,2023-12-19,33.095,Buy,75 Days,-3.09,Rise by 6.23%,6.21%,36.96%
2023-10-02,28.96,2023-12-19,33.095,Buy,56 Days,-3.53,Rise by -1.07%,14.28%,51.24%
2025-09-02,34.945,2025-10-27,36.64,Buy,39 Days,-4.95,Rise by 1.27%,4.85%,56.09%
2025-10-01,33.8,2025-10-01,33.8,Buy,0 Days,-5.35,Rise by 0%,0.0%,56.09%
