Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-02-01,42.94,2021-09-22,53.81,Buy,167 Days,-9.08,Rise by 19.93%,25.31%,25.31%,
2021-12-01,50.01,2022-03-10,66.44,Buy,71 Days,-6.09,Rise by 3.62%,32.85%,58.17%,
2022-07-04,51.13,2022-11-10,51.72,Buy,93 Days,-4.63,Rise by -12.28%,1.15%,59.32%,
2022-08-04,45.77,2022-10-18,46.07,Buy,53 Days,-3.05,Rise by 7.38%,0.66%,59.98%,
2025-03-03,60.14,2025-06-26,47.48,Buy,83 Days,-4.07,Rise by -11.66%,-21.05%,38.93%,
2025-03-13,53.11,2025-05-15,46.83,Buy,45 Days,-3.54,Rise by 3.26%,-11.82%,27.1%,
2025-04-04,40.88,2025-09-16,54.14,Buy,117 Days,-7.71,Rise by 11.28%,32.44%,59.54%,
2025-08-01,45.7,2025-09-25,53.37,Buy,39 Days,-4.34,Rise by 3.87%,16.78%,76.32%,
