Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2012-06-10,0.7684,2012-06-24,0.7878,9 days,2.52%,2.5247%,Rise by 8.16%,2.5247%,
Buy,2013-07-07,0.7820,2013-07-28,0.8061,14 days,3.08%,3.0818%,Rise by 8.21%,5.6066%,
Buy,2014-10-12,0.7861,2015-02-01,0.7283,79 days,-7.35%,-7.3528%,Rise by -2.65%,-1.7462%,
Buy,2015-02-15,0.7433,2015-04-19,0.7653,44 days,2.96%,2.9598%,Rise by 2.96%,1.2136%,
Buy,2015-07-12,0.6748,2015-09-13,0.6310,44 days,-6.49%,-6.4908%,Rise by 1.32%,-5.2772%,
Buy,2015-09-20,0.6375,2015-10-11,0.6668,14 days,4.60%,4.5961%,Rise by 7.31%,-0.6811%,
Buy,2020-03-29,0.5979,2020-06-07,0.6464,49 days,8.11%,8.1117%,Rise by 12.01%,7.4306%,
Buy,2022-05-22,0.6381,2022-06-05,0.6560,9 days,2.81%,2.8052%,Rise by 0.83%,10.2358%,
Buy,2022-07-24,0.6244,2022-08-14,0.6434,14 days,3.04%,3.0429%,Rise by 2.16%,13.2787%,
Buy,2022-10-16,0.5639,2022-10-30,0.5828,9 days,3.35%,3.3517%,Rise by 13.12%,16.6304%,
Buy,2025-01-05,0.5593,2025-02-23,0.5764,34 days,3.06%,3.0574%,Rise by 3.06%,19.6878%,
