Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2020-11-15,15.8,2020-11-29,27.66,Buy,9 Days,30.96,Rise by 75.63%,75.06%,75.06%
2021-01-24,32.58,2021-02-28,23.9,Buy,24 Days,8.07,Rise by -26.64%,-26.64%,48.42%
2021-10-03,24.33,2021-10-10,23.5,Sell,4 Days,-12.57,Fall by 12.0%,3.41%,51.83%
2023-06-11,15.02,2023-08-06,18.2,Buy,39 Days,20.25,Rise by 21.17%,21.17%,73.0%
2025-01-19,71.77,2025-01-26,78.98,Sell,4 Days,-15.14,Fall by -3.12%,-10.05%,62.96%
2025-07-06,134.36,2025-08-10,186.96,Buy,24 Days,11.9,Rise by 39.15%,39.15%,102.11%
