Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2020-04-12,38.1,2020-04-26,35.3933,Sell,9 Days,-8.07,Fall by -3.45%,7.1%,7.1%
2020-11-15,57.7333,2021-10-10,48.6667,Buy,234 Days,30.96,Rise by 8.87%,-15.7%,-8.6%
2021-01-24,58.2467,2021-10-10,48.6667,Buy,184 Days,8.07,Rise by 8.65%,-16.45%,-25.05%
2021-10-03,50.14,2021-12-12,53.7267,Sell,49 Days,-12.57,Fall by -27.3%,-7.15%,-32.2%
2023-06-11,63.95,2023-08-20,53.26,Buy,49 Days,20.25,Rise by -11.38%,-16.72%,-48.92%
2025-01-19,57.35,2025-01-26,61.41,Sell,4 Days,-15.14,Fall by 12.99%,-7.08%,-56.0%
2025-07-06,58.19,2025-07-06,58.19,Buy,0 Days,11.9,Rise by 0%,0.0%,-56.0%
