Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2016-03-31,1.9,2017-12-31,8.07,Buy,456 days,Rise by 492.630000%,324.74,
2017-09-30,6.42,2018-12-31,11.15,Buy,324 days,Rise by 167.550000%,73.54,
2024-03-31,6.78,2024-03-31,6.78,Buy,0 days,Rise by 59.290000%,0.0,
