Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2003-12-14,2.9879,2008-09-07,2.5353,Buy,1234 Days,34.21,Rise by 6.08%,-15.15%,-15.15%,
2004-03-28,3.075,2005-07-10,2.9542,Sell,334 Days,-11.11,Fall by 1.68%,3.93%,-11.22%,
2004-05-16,3.033,2005-07-24,2.8839,Sell,309 Days,-10.53,Fall by 0.32%,4.92%,-6.3%,
2005-03-27,3.0744,2005-07-10,2.9542,Sell,74 Days,-18.71,Fall by 1.57%,3.91%,-2.39%,
2005-05-29,3.0262,2008-09-07,2.5353,Buy,854 Days,20.72,Rise by 1.79%,-16.22%,-18.62%,
2005-08-21,2.9987,2005-11-27,2.9007,Sell,69 Days,-11.11,Fall by 1.26%,3.27%,-15.35%,
2006-01-08,2.8974,2006-03-12,2.8093,Sell,44 Days,-10.87,Fall by 3.04%,3.04%,-12.31%,
2006-04-23,2.8419,2006-12-03,3.0537,Sell,159 Days,-7.1,Fall by -2.25%,-7.45%,-19.76%,
2008-03-30,2.7549,2008-11-09,2.3395,Buy,159 Days,8.0,Rise by -1.45%,-15.08%,-34.84%,
2009-03-22,2.1845,2016-07-03,1.7952,Buy,1899 Days,6.79,Rise by 10.34%,-17.82%,-52.66%,
2011-03-20,2.0622,2011-06-26,1.9783,Sell,69 Days,-11.63,Fall by 2.64%,4.07%,-48.59%,
2012-04-15,1.9956,2013-02-17,1.9127,Sell,219 Days,-13.42,Fall by 0.72%,4.15%,-44.44%,
2013-05-12,1.9049,2022-09-04,1.6185,Buy,2429 Days,13.36,Rise by 3.67%,-15.03%,-59.47%,
2013-08-25,1.9978,2014-01-26,2.1273,Sell,109 Days,-13.9,Fall by 0.14%,-6.48%,-65.95%,
2015-08-02,2.1446,2016-01-17,2.0717,Sell,119 Days,-19.6,Fall by 0.43%,3.4%,-62.55%,
2016-01-17,2.0717,2016-02-28,1.9565,Sell,29 Days,-27.63,Fall by 5.56%,5.56%,-56.99%,
2016-11-20,1.7653,2016-11-20,1.7653,Buy,0 Days,20.08,Rise by 0%,0.0%,-56.99%,
2018-04-15,1.8668,2018-05-06,1.8055,Sell,14 Days,-16.67,Fall by 4.72%,3.28%,-53.71%,
2021-01-24,1.8155,2021-01-24,1.8155,Buy,0 Days,8.07,Rise by 0%,0.0%,-53.71%,
2021-10-03,1.8292,2022-04-17,1.7713,Sell,139 Days,-12.57,Fall by 1.07%,3.17%,-50.54%,
2023-06-11,1.6863,2023-06-11,1.6863,Buy,0 Days,20.25,Rise by 0%,0.0%,-50.54%,
2025-01-19,1.6723,2025-01-19,1.6723,Sell,0 Days,-15.14,Fall by 0%,-0.0%,-50.54%,
2025-07-06,1.7409,2025-07-06,1.7409,Buy,0 Days,11.9,Rise by 0%,0.0%,-50.54%,
