Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Profit [%],Holding Period (days),Backtested Win Rate [%],Backtested Number of Trades,Avg Backtested Holding Period (days),Signal Open Price
DELTADRIFT,TRI.TO,Long,Daily,2025-09-22,225.43,2025-10-09,210.48,-6.631770394357458,13,80.0,10,5,
DELTADRIFT,TRI.TO,Long,Daily,2025-08-13,233.51,2025-08-20,243.79,4.402381054344568,5,80.0,10,5,
