Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2010-12-26,0.1,2011-06-05,0.16,114 days,2010-06-13/0.098,65.00%,65.00%,Rise by 60.0%,65.00%,
Buy,2011-08-07,0.2,2012-03-04,0.36,149 days,2011-06-05/0.165,80.00%,80.00%,Rise by 20.0%,145.00%,
Buy,2012-04-15,0.51,2014-01-05,0.82,449 days,2004-06-27/0.5,60.78%,60.78%,Rise by -11.76%,205.78%,
Buy,2014-02-09,0.95,2014-05-11,0.75,64 days,2014-01-12/0.92,-21.05%,-21.05%,Rise by -11.58%,184.73%,
Buy,2015-06-28,0.72,2015-11-29,1.18,109 days,2014-11-30/0.63,63.89%,63.89%,Rise by 8.33%,248.62%,
Buy,2016-03-27,1.99,2016-05-22,1.59,39 days,2015-12-27/1.97,-20.10%,-20.10%,Rise by -10.05%,228.52%,
Buy,2016-07-24,2.01,2017-04-16,3.22,189 days,2016-03-27/1.99,60.20%,60.20%,Rise by 19.9%,288.72%,
Buy,2017-06-18,3.85,2017-10-01,6.42,74 days,2017-05-14/3.54,66.88%,66.88%,Rise by 123.38%,355.60%,
Buy,2018-01-28,9.08,2019-02-24,14.6,279 days,2017-10-29/8.6,60.79%,60.79%,Rise by 51.21%,416.40%,
Buy,2019-04-21,15.7,2019-11-10,12.39,144 days,2019-03-10/14.72,-21.08%,-21.08%,Rise by -10.7%,395.31%,
Buy,2020-04-12,17.48,2020-12-13,13.95,174 days,2020-03-08/17.21,-20.19%,-20.19%,Rise by 20.88%,375.12%,
Buy,2022-09-04,6.45,2023-08-27,5.04,254 days,2022-03-27/5.81,-21.86%,-21.86%,Rise by 18.29%,353.26%,
Buy,2024-02-11,5.57,2025-03-16,9.45,284 days,2023-07-23/5.56,69.66%,69.66%,Rise by 21.72%,422.92%,
Buy,2025-08-24,9.75,2025-08-24,9.75,0 days,2025-03-16/9.45,0.00%,0.00%,Rise by 0%,422.92%,
