Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2006-10-31,0.14,2006-11-30,0.09,22 days,2005-12-31/0.1,-38.57%,-38.57%,Rise by -28.57%,-38.57%
Buy,2007-05-31,0.15,2007-06-30,0.27,21 days,2006-10-31/0.14,80.00%,80.00%,Rise by -13.33%,41.43%
Buy,2010-12-31,0.1,2011-05-31,0.16,107 days,2010-08-31/0.09,65.00%,65.00%,Rise by 65.0%,106.43%
Buy,2011-08-31,0.25,2012-03-31,0.4,152 days,2011-05-31/0.165,60.00%,60.00%,Rise by 92.0%,166.43%
Buy,2012-04-30,0.42,2013-04-30,0.7,261 days,2012-03-31/0.4,66.67%,66.67%,Rise by 59.52%,233.10%
Buy,2013-08-31,0.74,2014-09-30,0.58,281 days,2013-05-31/0.7,-21.62%,-21.62%,Rise by 27.03%,211.47%
Buy,2015-06-30,0.71,2015-11-30,1.18,109 days,2014-06-30/0.69,66.20%,66.20%,Rise by 167.61%,277.67%
Buy,2015-12-31,1.86,2017-03-31,2.99,326 days,2015-11-30/1.18,60.75%,60.75%,Rise by -15.05%,338.42%
Buy,2017-04-30,3.38,2017-08-31,5.55,88 days,2017-03-31/2.99,64.23%,64.23%,Rise by 156.51%,402.65%
Buy,2017-09-30,6.42,2018-02-28,13.23,107 days,2017-08-31/5.551,105.91%,105.91%,Rise by 105.91%,508.57%
Buy,2019-02-28,14.31,2021-02-28,9.69,521 days,2018-02-28/13.23,-32.29%,-32.29%,Rise by 25.93%,476.28%
Buy,2022-11-30,6.65,2023-08-31,5.0,196 days,2022-08-31/6.23,-24.81%,-24.81%,Rise by -11.28%,451.47%
Buy,2024-03-31,6.78,2024-03-31,6.78,0 days,2023-03-31/6.24,0.00%,0.00%,Rise by 0%,451.47%
