Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-12-01,106.55,2022-11-29,91.41,Buy,259 Days,-4.93,Rise by 1.7%,-14.21%,-14.21%,
2022-02-01,105.75,2022-08-16,97.01,Buy,140 Days,-4.15,Rise by -1.37%,-8.26%,-22.47%,
2022-03-04,102.83,2022-08-16,97.01,Buy,117 Days,-3.66,Rise by -0.13%,-5.66%,-28.13%,
2022-05-02,97.13,2023-01-23,93.27,Buy,190 Days,-8.56,Rise by 2.21%,-3.97%,-32.11%,
2022-05-13,95.19,2022-08-03,96.48,Buy,58 Days,-3.05,Rise by 4.3%,1.36%,-30.75%,
2022-07-01,91.04,2023-01-23,93.27,Buy,146 Days,-7.48,Rise by 4.27%,2.45%,-28.3%,
2022-07-14,91.66,2022-11-29,91.41,Buy,98 Days,-3.38,Rise by 3.57%,-0.27%,-28.58%,
2022-09-01,91.56,2023-01-23,93.27,Buy,102 Days,-8.12,Rise by 2.29%,1.87%,-26.71%,
2022-09-26,87.78,2022-11-29,91.41,Buy,46 Days,-3.05,Rise by 2.72%,4.14%,-22.57%,
2023-03-02,90.67,2023-07-18,92.55,Buy,98 Days,-5.12,Rise by -0.24%,2.07%,-20.5%,
2023-10-03,88.43,2023-12-04,92.71,Buy,44 Days,-3.46,Rise by 1.5%,4.84%,-15.66%,
2024-05-01,93.3,2024-06-17,94.25,Buy,33 Days,-3.82,Rise by 1.49%,1.02%,-14.64%,
2024-11-01,95.74,2025-03-05,96.31,Buy,88 Days,-4.6,Rise by 1.39%,0.6%,-14.05%,
2025-04-01,95.02,2025-06-16,95.92,Buy,54 Days,-3.72,Rise by -1.37%,0.95%,-13.1%,
2025-05-01,94.3,2025-07-03,96.91,Buy,45 Days,-3.95,Rise by 1.59%,2.77%,-10.33%,
