Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2013-12-31,0.87,2017-06-30,0.95,Buy,912 days,Rise by 8.690000%,8.63,
2018-09-30,0.86,2020-09-30,0.88,Sell,521 days,Fall by 3.580000%,-2.4,
2019-06-30,0.88,2020-09-30,0.88,Sell,326 days,Fall by 0.810000%,-0.66,
2021-06-30,0.87,2023-06-30,0.8,Sell,521 days,Fall by 9.370000%,7.23,
