Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2022-03-31,140.945,2022-12-31,160.3946,2018-06-30-2021-12-31,53.4023-162.6376,Sell,196 days,-13.8%,Fall by -54.82%,-13.8%,
2025-09-30,216.1,2025-09-30,216.1,2018-06-30-2025-09-30,53.4023-299.24,Sell,0 days,-0.0%,Fall by 0%,-13.8%,
