Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-12-21,73.4100,2022-03-04,63.5900,53 days,-13.38%,-13.3769%,Rise by -14.15%,-13.3769%,
Buy,2022-03-09,62.4000,2022-03-11,47.9900,2 days,-23.09%,-23.0929%,Rise by -13.86%,-36.4699%,
Buy,2022-03-15,45.9800,2022-03-16,64.0800,1 days,39.36%,39.3649%,Rise by 37.82%,2.8951%,
Buy,2022-09-26,53.3400,2022-10-12,46.4000,12 days,-13.01%,-13.0109%,Rise by -10.8%,-10.1158%,
Buy,2022-10-17,44.4400,2022-11-11,48.9300,19 days,10.10%,10.1035%,Rise by -16.09%,-0.0123%,
Buy,2023-02-09,55.4500,2023-02-22,46.5300,9 days,-16.09%,-16.0866%,Rise by -19.21%,-16.0989%,
Buy,2023-02-27,44.7400,2023-03-02,47.0700,3 days,5.21%,5.2079%,Rise by -10.35%,-10.8910%,
Buy,2023-03-15,39.3400,2023-03-28,41.5500,9 days,5.62%,5.6177%,Rise by 12.86%,-5.2733%,
Buy,2024-11-15,35.0000,2024-11-27,37.1900,8 days,6.26%,6.2571%,Rise by 17.91%,0.9838%,
Buy,2025-04-09,35.0750,2025-04-14,38.1800,3 days,8.85%,8.8525%,Rise by 6.2%,9.8363%,
Buy,2025-04-25,32.5300,2025-05-02,34.4700,5 days,5.96%,5.9637%,Rise by 14.51%,15.8000%,
