Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1975-03-31,0.01,1976-03-31,0.02,262 days,1974-06-30/0.0127,63.85%,63.85%,Rise by 50.0%,63.85%,
Buy,1977-09-30,0.02,1978-08-31,0.04,239 days,1976-09-30/0.0202,60.63%,60.63%,Rise by 63.35%,124.48%,
Buy,1978-09-30,0.04,1980-08-31,0.06,499 days,1978-08-31/0.0355,73.96%,73.96%,Rise by -16.62%,198.44%,
Buy,1980-09-30,0.07,1981-11-30,0.11,304 days,1980-08-31/0.0628,75.58%,75.58%,Rise by 54.99%,274.02%,
Buy,1982-03-31,0.12,1982-10-31,0.2,152 days,1981-11-30/0.1143,71.62%,71.62%,Rise by 118.14%,345.64%,
Buy,1982-11-30,0.25,1983-06-30,0.41,152 days,1982-10-31/0.2044,65.22%,65.22%,Rise by 73.13%,410.86%,
Buy,1983-07-31,0.43,1984-02-29,0.33,152 days,1983-06-30/0.4076,-21.66%,-21.66%,Rise by -13.42%,389.20%,
Buy,1984-08-31,0.46,1986-03-31,0.82,411 days,1983-11-30/0.4388,78.48%,78.48%,Rise by 3.13%,467.68%,
Buy,1986-04-30,0.84,1987-06-30,1.41,304 days,1986-03-31/0.8203,66.97%,66.97%,Rise by 99.99%,534.65%,
Buy,1987-07-31,1.55,1987-10-31,1.15,65 days,1987-06-30/1.4089,-25.84%,-25.84%,Rise by -30.2%,508.81%,
Buy,1989-01-31,1.41,1990-05-31,2.35,347 days,1988-07-31/1.3698,67.05%,67.05%,Rise by 28.15%,575.86%,
Buy,1990-06-30,2.6,1991-08-31,4.22,304 days,1990-05-31/2.349,62.32%,62.32%,Rise by 62.32%,638.18%,
Buy,1991-12-31,4.91,1994-05-31,3.92,630 days,1991-08-31/4.2188,-20.17%,-20.17%,Rise by 10.62%,618.01%,
Buy,1995-06-30,4.46,1996-01-31,3.4,153 days,1995-03-31/4.2708,-23.83%,-23.83%,Rise by -10.28%,594.18%,
Buy,1996-08-31,4.4,1998-02-28,7.72,389 days,1996-05-31/4.3125,75.59%,75.59%,Rise by 42.18%,669.77%,
Buy,1998-03-31,8.47,1998-12-31,13.57,197 days,1998-02-28/7.7188,60.27%,60.27%,Rise by 81.43%,730.04%,
Buy,1999-01-31,14.33,1999-12-31,23.04,239 days,1998-12-31/13.5729,60.76%,60.76%,Rise by 12.21%,790.80%,
Buy,2001-12-31,19.18,2005-08-31,14.99,957 days,2001-01-31/18.9333,-21.88%,-21.88%,Rise by -14.54%,768.92%,
Buy,2006-09-30,16.44,2013-11-30,27.0,1869 days,2005-11-30/16.1867,64.25%,64.25%,Rise by -11.54%,833.18%,
Buy,2014-11-30,29.18,2015-08-31,21.58,195 days,2013-11-30/27.0033,-26.06%,-26.06%,Rise by -10.84%,807.12%,
Buy,2016-06-30,24.34,2019-09-30,39.56,847 days,2015-07-31/23.9933,62.53%,62.53%,Rise by 9.55%,869.65%,
Buy,2019-11-30,39.7,2024-05-31,65.76,1174 days,2019-09-30/39.56,65.66%,65.66%,Rise by 28.3%,935.31%,
Buy,2024-06-30,67.71,2024-06-30,67.71,0 days,2024-05-31/65.76,0.00%,0.00%,Rise by 0%,935.31%,
