Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2011-02-20,9.18,2011-06-19,7.0,84 days,2011-01-09/8.83,-23.75%,-23.75%,Rise by -0.87%,-23.75%,
Buy,2013-05-05,3.6,2014-10-12,2.72,374 days,2012-10-07/3.22,-24.44%,-24.44%,Rise by 20.0%,-48.19%,
Buy,2015-12-27,2.92,2016-01-10,2.14,9 days,2015-06-21/2.58,-26.71%,-26.71%,Rise by -37.33%,-74.90%,
Buy,2016-03-20,2.93,2016-06-19,5.26,64 days,2015-12-27/2.92,79.52%,79.52%,Rise by 79.52%,4.62%,
Buy,2016-07-24,5.84,2016-12-11,10.34,99 days,2016-06-19/5.26,77.05%,77.05%,Rise by 98.29%,81.67%,
Buy,2017-02-05,12.24,2018-04-08,9.61,304 days,2016-12-25/11.58,-21.49%,-21.49%,Rise by 18.87%,60.19%,
Buy,2019-06-09,32.41,2020-02-16,55.31,179 days,2019-04-07/28.98,70.66%,70.66%,Rise by 5.49%,130.84%,
Buy,2020-04-19,56.6,2020-12-06,94.04,164 days,2020-02-16/55.31,66.15%,66.15%,Rise by -11.48%,196.99%,
Buy,2021-08-01,106.19,2022-06-19,81.57,229 days,2020-12-20/95.92,-23.18%,-23.18%,Rise by 46.35%,173.81%,
Buy,2023-03-19,97.84,2024-01-21,174.23,219 days,2022-08-21/95.95,78.08%,78.08%,Rise by 29.83%,251.88%,
Buy,2024-03-03,202.64,2024-04-21,146.64,34 days,2024-02-04/177.66,-27.64%,-27.64%,Rise by -27.64%,224.25%,
Buy,2025-06-29,143.81,2025-10-19,233.08,79 days,2024-12-08/138.59,62.07%,62.07%,Rise by 23.43%,286.32%,
