Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-05-20,155.2300,2022-05-26,170.1700,4 days,9.62%,9.6244%,Rise by 14.42%,9.6244%,
Buy,2022-06-15,154.8000,2022-08-01,159.5700,33 days,3.08%,3.0814%,Rise by -12.14%,12.7058%,
Buy,2022-09-27,138.6800,2022-10-04,147.5600,5 days,6.40%,6.4032%,Rise by 15.45%,19.1091%,
Buy,2022-12-22,147.2200,2023-01-06,153.3800,11 days,4.18%,4.1842%,Rise by 19.66%,23.2933%,
Buy,2023-03-16,161.1300,2023-03-21,167.7600,3 days,4.11%,4.1147%,Rise by 12.36%,27.4080%,
Buy,2023-09-27,193.8800,2023-09-28,199.5500,1 days,2.92%,2.9245%,Rise by 8.29%,30.3324%,
Buy,2024-04-22,237.4100,2024-04-24,244.0600,2 days,2.80%,2.8011%,Rise by 3.48%,33.1335%,
Buy,2024-05-06,236.8200,2024-06-17,244.7000,30 days,3.33%,3.3274%,Rise by 3.73%,36.4609%,
Buy,2024-08-06,215.2500,2024-08-15,221.9000,7 days,3.09%,3.0894%,Rise by 9.03%,39.5504%,
Buy,2025-02-25,277.4600,2025-03-11,246.3100,10 days,-11.23%,-11.2268%,Rise by -11.23%,28.3235%,
Buy,2025-03-14,243.1100,2025-04-08,211.1200,17 days,-13.16%,-13.1587%,Rise by -11.74%,15.1649%,
Buy,2025-08-05,259.7200,2025-08-13,269.7000,6 days,3.84%,3.8426%,Rise by 5.43%,19.0075%,
