Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2011-08-28,38.36,2021-04-25,69.1,2519 days,80.140000%,80.140000%,Rise by 4.070000%,80.140000%,
Buy,2022-03-13,58.54,2023-08-20,59.32,374 days,1.330000%,1.330000%,Rise by -11.070000%,81.470000%,
Buy,2023-11-05,62.0,2023-11-05,62.0,0 days,0.00%,0.00%,Rise by 0%,81.470000%,
