Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-12-01,1.8152,2022-11-03,1.6143,Buy,241 Days,-4.26,Rise by 0.06%,-11.07%,-11.07%,
2022-04-01,1.7809,2022-11-03,1.6143,Buy,154 Days,-5.21,Rise by 0.28%,-9.35%,-20.42%,
2022-05-03,1.7309,2022-11-29,1.6493,Buy,150 Days,-4.67,Rise by -0.18%,-4.71%,-25.14%,
2022-06-02,1.7164,2022-11-29,1.6493,Buy,128 Days,-6.24,Rise by -2.6%,-3.91%,-29.05%,
2022-07-01,1.6904,2022-11-03,1.6143,Buy,89 Days,-3.56,Rise by -0.2%,-4.5%,-33.55%,
2022-09-01,1.622,2022-11-29,1.6493,Buy,63 Days,-5.46,Rise by 0.58%,1.68%,-31.86%,
2022-09-26,1.5438,2022-11-29,1.6493,Buy,46 Days,-3.65,Rise by 5.53%,6.83%,-25.03%,
2023-01-06,1.6025,2023-03-17,1.6299,Buy,50 Days,-3.69,Rise by 2.2%,1.71%,-23.32%,
2023-02-01,1.6176,2023-03-17,1.6299,Buy,32 Days,-3.51,Rise by -0.03%,0.76%,-22.56%,
2023-10-04,1.6587,2023-12-20,1.6915,Buy,55 Days,-5.2,Rise by 1.17%,1.98%,-20.58%,
2023-11-01,1.6632,2023-12-20,1.6915,Buy,35 Days,-3.4,Rise by 1.29%,1.7%,-18.88%,
