Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-11-01,61.65,2022-01-07,55.81,Buy,49 Days,-4.03,Rise by 5.26%,-9.47%,-9.47%,
2021-12-01,54.53,2022-08-15,62.27,Buy,183 Days,-7.83,Rise by 16.05%,14.19%,4.72%,
2022-03-01,50.39,2022-07-04,53.44,Buy,89 Days,-5.86,Rise by 3.75%,6.05%,10.77%,
2022-11-01,54.46,2023-02-14,71.5,Buy,75 Days,-5.88,Rise by 9.53%,31.29%,42.06%,
2023-10-04,56.02,2024-01-04,54.82,Buy,66 Days,-3.87,Rise by -10.53%,-2.14%,39.92%,
2023-11-01,52.62,2024-02-15,50.25,Buy,76 Days,-7.45,Rise by -0.36%,-4.5%,35.42%,
2024-05-02,47.64,2024-07-19,46.49,Buy,56 Days,-4.09,Rise by -2.41%,-2.41%,33.0%,
2024-09-03,42.14,2024-10-09,46.45,Buy,26 Days,-3.22,Rise by 9.82%,10.23%,43.23%,
2025-03-11,42.01,2025-05-05,43.28,Buy,39 Days,-3.25,Rise by 1.79%,3.02%,46.25%,
2025-04-01,41.42,2025-04-01,41.42,Buy,0 Days,-6.14,Rise by 0%,0.0%,46.25%,
2025-08-01,38.38,2025-08-01,38.38,Buy,0 Days,-3.64,Rise by 0%,0.0%,46.25%,
