Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-08-05,40.9,2021-10-27,41.01,Buy,59 Days,-3.47,Rise by -0.24%,0.27%,0.27%,
2021-12-01,38.1,2022-07-01,33.94,Buy,152 Days,-7.83,Rise by 2.02%,-10.92%,-10.65%,
2022-01-04,35.89,2022-06-13,31.31,Buy,114 Days,-4.29,Rise by 7.72%,-12.76%,-23.41%,
2022-03-03,33.69,2022-07-01,33.94,Buy,86 Days,-5.42,Rise by -13.71%,0.74%,-22.67%,
2022-05-11,28.34,2022-07-01,33.94,Buy,37 Days,-3.02,Rise by 20.54%,19.76%,-2.91%,
2022-08-01,29.97,2022-12-14,28.54,Buy,97 Days,-4.44,Rise by 0.9%,-4.77%,-7.68%,
2022-09-01,29.87,2022-12-14,28.54,Buy,74 Days,-5.6,Rise by -0.4%,-4.45%,-12.13%,
2022-10-03,25.97,2022-12-14,28.54,Buy,52 Days,-5.47,Rise by -17.1%,9.9%,-2.24%,
2022-10-14,24.16,2022-12-14,28.54,Buy,43 Days,-3.54,Rise by -10.89%,18.13%,15.89%,
2022-11-01,21.84,2024-05-22,28.2,Buy,406 Days,-17.92,Rise by 23.31%,29.12%,45.01%,
2023-03-09,27.39,2023-06-22,27.44,Buy,75 Days,-3.58,Rise by 5.7%,0.18%,45.2%,
2023-06-01,26.63,2023-11-20,26.69,Buy,122 Days,-6.85,Rise by 9.2%,0.23%,45.42%,
2024-01-09,22.48,2024-03-01,23.92,Buy,38 Days,-3.18,Rise by 1.29%,6.41%,51.83%,
2024-02-01,21.86,2024-05-09,27.4,Buy,70 Days,-7.16,Rise by 11.25%,25.34%,77.17%,
2024-07-01,26.08,2024-10-10,33.22,Buy,73 Days,-9.03,Rise by 4.37%,27.38%,104.55%,
2024-08-01,25.32,2024-10-10,33.22,Buy,50 Days,-4.01,Rise by 5.06%,31.2%,135.75%,
2025-04-04,32.74,2025-05-27,35.6,Buy,37 Days,-3.45,Rise by 1.92%,8.74%,144.48%,
2025-05-01,33.79,2025-08-28,38.56,Buy,85 Days,-9.96,Rise by 7.46%,14.12%,158.6%,
