Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-11-30,46.9800,2021-12-06,48.8400,4 days,3.96%,3.9591%,Rise by 13.84%,3.9591%
Buy,2022-02-23,49.2700,2022-02-25,51.2100,2 days,3.94%,3.9375%,Rise by 18.51%,7.8966%
Buy,2022-06-15,54.0500,2022-06-27,55.3400,8 days,2.39%,2.3867%,Rise by 11.21%,10.2833%
Buy,2022-07-06,51.0100,2022-07-07,53.2000,1 days,4.29%,4.2933%,Rise by 17.84%,14.5766%
Buy,2022-09-26,54.8200,2022-09-29,56.5400,3 days,3.14%,3.1375%,Rise by 14.74%,17.7141%
Buy,2024-03-26,77.1700,2024-05-23,79.3700,42 days,2.85%,2.8508%,Rise by 0.83%,20.5650%
Buy,2024-09-05,75.4100,2024-09-09,77.9200,2 days,3.33%,3.3285%,Rise by 7.85%,23.8934%
Buy,2025-01-15,75.2800,2025-01-17,76.7800,2 days,1.99%,1.9926%,Rise by 2.84%,25.8860%
Buy,2025-02-13,73.5600,2025-03-14,67.7700,21 days,-7.87%,-7.8711%,Rise by 0.68%,18.0149%
Buy,2025-06-30,67.6900,2025-07-09,69.4100,7 days,2.54%,2.5410%,Rise by 13.47%,20.5559%
