Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2022-04-01,59.09,2024-05-01,29.27,Buy,543 Days,-9.09,Rise by -14.2%,-50.47%,-50.47%,
2022-08-02,59.73,2022-11-23,52.26,Buy,81 Days,-3.08,Rise by 8.67%,-12.51%,-62.97%,
2022-10-07,49.91,2022-11-23,52.26,Buy,33 Days,-4.05,Rise by -15.19%,4.71%,-58.26%,
2022-10-19,41.22,2022-12-13,57.81,Buy,39 Days,-3.42,Rise by 39.54%,40.25%,-18.02%,
2022-11-02,39.84,2023-08-03,39.56,Buy,196 Days,-9.53,Rise by 44.38%,-0.7%,-18.72%,
2023-03-01,45.73,2024-05-01,29.27,Buy,305 Days,-10.26,Rise by -11.5%,-35.99%,-54.71%,
2023-03-13,40.11,2023-06-22,36.59,Buy,73 Days,-4.37,Rise by 10.7%,-8.78%,-63.49%,
2023-09-07,32.34,2023-11-20,28.55,Buy,52 Days,-3.03,Rise by -10.24%,-11.72%,-75.21%,
2023-10-03,28.46,2024-01-03,27.47,Buy,66 Days,-4.4,Rise by 6.61%,-3.48%,-78.69%,
2023-11-02,25.81,2024-03-18,27.85,Buy,97 Days,-4.73,Rise by 10.77%,7.9%,-70.78%,
2024-07-02,26.09,2024-10-10,43.22,Buy,72 Days,-8.49,Rise by 9.74%,65.66%,-5.12%,
2024-08-01,25.24,2024-10-10,43.22,Buy,50 Days,-5.93,Rise by 17.04%,71.24%,66.11%,
2025-05-09,33.86,2025-07-23,33.93,Buy,53 Days,-3.3,Rise by -1.57%,0.21%,66.32%,
